name,city,state,country,employees,founded,description
Nedap Retail,Groenlo,,Netherlands,501-1000 Employees,1929,"The company emphasizes its commitment to achieving perfect inventory visibility and zero waste through advanced RFID solutions like the iD Gate Pro. They highlight the importance of accurate stock data for successful omnichannel services, making RFID adoption seamless for retailers."
Rfid Canada,Markham,,Canada,11-50 Employees,1987,"RFID Canada is a prominent technology provider with over 32 years of experience, specializing in passive and active RFID (radio frequency identification) and NFC (near field communications) solutions. Their expertise highlights the importance of RFID technology in various applications, including environmental monitoring."
Invengo,San Jose,,Philippines,501-1000 Employees,1993,"Invengo Information Technology Co., Ltd is a leading global provider of RFID and IoT solutions, boasting over 20 years of experience and more than 400 registered patents in proprietary RFID technologies."
Atlas RFID,Birmingham,,United States,51-100 Employees,2007,"Atlas RFID Store specializes in RFID and NFC hardware, providing tracking solutions that have benefited many Fortune 100 companies."
ARFID,Rennes,,France,51-100 Employees,2000,"RFID is a global leader in RFID technology, specializing in smart products that allow businesses to identify, authenticate, and track their offerings. The company provides digitally based services that integrate objects with customer IT systems and the internet, enhancing product capabilities across various industries."
RFIDeas,Rolling Meadows,,United States,11-50 Employees,2008,"CCR Data Systems offers integrated authentication solutions that enhance security and streamline workflows, which may include RFID technologies for identity authentication and management. Their commitment to interoperability and compatibility ensures reliable access and efficient tracking of time, attendance, and transactions."
THE RFID COMPANY BV,Son en Breugel,,Netherlands,11-50 Employees,1985,"TRC, a sister company of THE TAG FACTORY, specializes in high-quality RFID smart labels and tags for tracking, tracing, and IoT applications. Their extensive range of RFID solutions is designed to meet the diverse needs of industries like retail, manufacturing, and logistics, ensuring robust asset management and inventory control."
iTAG Technology,São Paulo,,Brazil,11-50 Employees,2007,"The company specializes in optimizing business processes through the implementation of RFID technology, offering customized solutions that enhance performance from the distribution center to the point of sale. Their expertise includes software development, label manufacturing, and hardware distribution, underscoring their commitment to improving inventory accuracy and reducing losses."
RFiD Discovery,Milton Keynes,,United Kingdom,51-100 Employees,,"RFiD Discovery specializes in tracking solutions across various sectors, prominently featuring both active and passive RFID technologies. Their expertise in RFID systems, particularly in healthcare and baggage tracking for airlines, highlights their commitment to improving operational efficiency and reducing errors."
Fenotag,Aix-en-Provence,,France,11-50 Employees,2015,"The company specializes in the design and manufacturing of RFID tags, highlighting its expertise in antenna design and complex RF solutions. With a production capacity of up to 19 million textile tags per year, it emphasizes innovation and secure connectivity for smart flexible electronics."
