name,city,state,country,employees,founded,description
Furnitubes International Ltd,London,,United Kingdom,11-50 Employees,1946,"The company specializes in manufacturing street furniture for outdoor public spaces, offering a diverse range of modular products like benches, planters, and cycle parking. Their designs prioritize durability, functionality, and aesthetics, making them ideal for parks and urban areas."
StreetPark UK,Rother,,United Kingdom,11-50 Employees,,"STREETPARK is a manufacturer that specializes in street furniture, offering a wide range of products designed to enhance urban and rural environments. Their collection includes benches, bus shelters, litter bins, and bicycle stands, all aimed at revitalizing public spaces."
Street Furniture Direct,Stoke-on-Trent,,United Kingdom,1-10 Employees,2013,"Street Furniture Direct specializes in a diverse range of street furniture products, including bollards, cycle stands, shelters, litter bins, seats, and benches, all designed for durability and performance. With over 20 years of experience, they ensure fast delivery and competitive pricing, making them a reliable choice for outdoor street furniture projects."
Street Furniture Australia,Sydney,,Australia,51-100 Employees,1986,"Street Furniture Australia specializes in designing and producing high-quality outdoor furniture for urban environments, offering a diverse range of products like benches, tables, and planters, tailored for public spaces such as parks, streets, and transit areas. Their commitment to custom manufacturing ensures that all products meet specific project requirements, enhancing the functionality and aesthetics of urban landscapes."
Procter Contracts,United Kingdom,,United Kingdom,51-100 Employees,1740,"Procter Contracts specializes in street furniture, offering a range of standard products and the capability to manufacture bespoke items for both traditional and contemporary developments. Their extensive experience and comprehensive services ensure quality and design flexibility in street furniture solutions."
Environmental Street Furniture,Newtownabbey,,United Kingdom,1-10 Employees,2012,"ESF is a leading manufacturer and service provider of exterior street furniture, offering a diverse range of products such as benches, litter bins, and signage. With a focus on innovation and sustainability, ESF also provides custom solutions and solar-powered furniture, making it a key player in the street furniture industry."
FM Conway,Sevenoaks,,United Kingdom,1001-5000 Employees,1961,"FM Conway is a prominent player in public realm management, offering extensive services related to street lighting asset management. Their expertise includes the design and installation of innovative lighting solutions, which are essential components of effective street furniture."
JCDecaux,Neuilly-sur-Seine,,France,10001+ Employees,1964,"JCDecaux is a global leader in outdoor advertising and specializes in street furniture, having pioneered the concept in 1964. The company offers innovative advertising solutions through various outdoor display formats, including advertising bus shelters."
A & A LAMB LIMITED,Harborough,,United Kingdom,51-100 Employees,,"A & A LAMB LIMITED specializes in the manufacture and installation of various street furniture items, including bollards, litter bins, benches, and planters, catering to councils, local authorities, and commercial venue operators. Their products can be customized with durable finishes and are available in materials like timber and recycled plastic."
Langley Design Street Furniture,United Kingdom,,United Kingdom,11-50 Employees,,"Langley Design is a UK-based manufacturer that specializes in high-quality street furniture solutions, offering a diverse range of products such as benches, cycle parking, and outdoor teaching shelters. Their commitment to style, functionality, and sustainability, along with extensive experience in educational projects, makes them a key player in providing tailored street furniture solutions."
