name,city,state,country,employees,founded,description
Table Tennis Provider,Dublin,,Ireland,1-10 Employees,2018,"Table Tennis Provider is introducing a new online coaching service that includes both group and individual lessons, making it a great resource for anyone looking to enhance their table tennis skills."
Table Tennis England,Milton Keynes,,United Kingdom,51-100 Employees,2014,"Table Tennis England is actively recruiting for the Event Delivery Board for the 2026 World Championships, highlighting their commitment to enhancing the table tennis experience."
Paddle Palace Table Tennis,Portland,,United States,1-10 Employees,1978,"Paddle Palace is a key distributor of table tennis equipment in North America, offering a diverse selection of high-quality tables, paddles, and balls from renowned brands. The company's commitment to excellent customer service and involvement in tournament sponsorships highlights its dedication to enhancing the table tennis experience for players and enthusiasts."
Sponeta GmbH,Nottertal-Heilinger Höhen,,Germany,101-250 Employees,1991,"Sponeta is one of the largest manufacturers of table tennis tables worldwide, supplying high-quality products to over 90 countries. Their long-standing tradition in manufacturing ensures a consistent standard of excellence in their table tennis offerings."
Pro-Spin Sports,Canada,,Canada,1-10 Employees,2017,"Pro-Spin Sports Inc. offers a Portable All-in-One Ping Pong Set, perfect for enjoying table tennis anywhere, even in small spaces. This set includes a retractable net that fits on various tables, making it ideal for family and friends to challenge each other during the holidays."
International Table Tennis Federation,Lausanne,,Switzerland,51-100 Employees,1926,"The International Table Tennis Federation (ITTF) is the global governing body for table tennis, dedicated to promoting the sport's development and sustainability through various initiatives and resources."
Ping Pong Society,London,,United Kingdom,1-10 Employees,2017,"The company specializes in organizing events and training sessions for Table Tennis, offering coaching from top county and national players to enhance skills and performance."
Legacy Billiards,Collierville,,United States,51-100 Employees,2001,"Legacy Billiards offers a Classic Table Tennis Top, highlighting their commitment to providing high-quality game room furniture and accessories. With innovative design and superior customer service, they ensure that customers have access to unique and durable game tables."
Sports Basement,San Francisco,,United States,501-1000 Employees,1998,"Sports Basement offers the Franklin Sports Anywhere Table Tennis set, which allows you to play table tennis wherever there is a table. The set includes two paddles and balls, featuring a solid wood core for enhanced feedback and an auto-retractable net for easy setup."
Table Tennis America,Fremont,,United States,11-50 Employees,,"Table Tennis America is a dedicated facility for table tennis enthusiasts in the Bay Area, providing open play, competitions, and training programs for all skill levels. With a focus on skill development and promoting the sport, it offers a vibrant environment for both recreational and competitive players."
