name,city,state,country,employees,founded,description
Lucas Oil Products,Corona,,United States,251-500 Employees,1989,"Lucas Oil Products is known for its premium line of greases and additives, which has helped it become a leading name in the automotive industry. The company's commitment to quality and innovative product development ensures they offer some of the best lubricants available."
Lubrico Petrokimya A.Ş.,Gebze,,Turkey,51-100 Employees,1978,"Lubrico offers a diverse range of over 200 products, including greases, specifically designed to meet the needs of the automotive, industrial, and maritime markets. The company emphasizes continuous product development to adapt to market demands, ensuring high-quality lubricants and greases."
PennGrade 1 Motor Oil,Lebanon,,United States,51-100 Employees,1919,"D-A Lubricant Company manufactures a variety of lubricants, including grease, which is specifically designed to provide exceptional wear protection for various applications."
Lubricant Supplies,Test Valley,,United Kingdom,1-10 Employees,,"Lubricant Supplies, a trading style of Hayley Group Ltd, is an authorized distributor of leading international manufacturers, ensuring customers receive genuine greases that meet performance and safety standards. Their team of industrial lubricant experts is available to assist with any grease-related requirements."
PETRONAS Lubricants International,Malaysia,,Malaysia,1001-5000 Employees,2008,"PETRONAS Lubricants International (PLI) manufactures high-quality lubricants, including PETRONAS Grease LiCa GEP 2.5, highlighting its expertise in fluid technology solutions."
Nynas,Stockholm,,Sweden,1001-5000 Employees,1928,"Nynas specializes in naphthenic specialty products, including a range of oils and greases, which are essential for applications such as industrial lubricants and roller element bearings. Their expertise in naphthenic oils makes them particularly effective in grease formulation, enhancing lubrication performance."
Unil Lubricants,Sint-Pieters-Leeuw,,Belgium,11-50 Employees,1903,"Unil Lubricants produces a diverse range of over 500 greases, catering to various sectors including industrial, automobile, farming, and transport. With a commitment to quality and innovation since 1903, Unil Lubricants ensures optimal lubrication solutions for every application."
Graco,Minneapolis,,United States,1001-5000 Employees,1926,"Graco Inc. specializes in lubrication systems, including auto-greasers that help reduce equipment maintenance costs and minimize wear and tear. Their innovative auto-lubrication solutions are particularly relevant for managing grease in various applications."
Siddharth Grease & Lubes Pvt. Ltd.,Gurugram,,India,51-100 Employees,1988,"Siddharth Petro Product is a prominent manufacturer and supplier of a wide range of greases, including automobile greases and food-grade varieties. Their commitment to high performance and quality ensures that they meet the demands of the modern Indian automobile industry."
Lubecore International Inc.,Milton,,Canada,11-50 Employees,2008,"Lubecore specializes in automated lubrication systems that streamline the greasing process, ensuring equipment receives consistent lubrication without manual effort. They offer a range of premium greases, including EP0 and EP2, specifically designed for their systems, making them a key player for all your greasing needs."
