name,city,state,country,employees,founded,description
edureka!,Bengaluru,,India,251-500 Employees,2011,"The company offers world-class online courses for continuing education, specifically designed for working professionals, through instructor-led live sessions."
42courses,London,,United Kingdom,11-50 Employees,2016,"42courses is a provider of e-learning that offers a variety of accredited online courses, particularly in marketing and creativity, aimed at enhancing career skills. Their programs are designed with input from industry leaders to ensure practical relevance, delivering quick and enjoyable learning experiences that empower individuals to upskill effectively."
Coursera,Mountain View,,United States,1001-5000 Employees,2012,"Coursera is an online learning platform that offers a wide range of educational opportunities, including courses, job-ready certificates, and degree programs, in partnership with over 200 leading universities and organizations. With a mission to provide flexible and affordable learning experiences, Coursera serves millions of learners worldwide."
Edrona Learning,Ernakulam,,India,51-100 Employees,,"Edrona offers a wide range of online courses and e-learning opportunities, including job-ready certificates and degree programs. Their mission is to create a sustainable platform for continuous learning, featuring trending courses in areas like Cloud Computing, Cyber Security, and Data Science."
GetCourse,San Jose,,United States,251-500 Employees,2014,"GetCourse is an all-in-one platform designed to streamline the process of creating and selling online courses. It offers features like webinar integration and easy accessibility, making it ideal for educators looking to enhance their online teaching experience."
Centre of Excellence,Manchester,,United Kingdom,11-50 Employees,,"Centre of Excellence Online is a prominent provider of e-learning courses, offering over 100 flexible and affordable options that are accessible 24/7. With full tutor support and a commitment to empowering learners, the company ensures a comprehensive and transformative online learning experience."
UniCourse,Liverpool,,United Kingdom,11-50 Employees,2014,"UniCourse offers flexible online courses that allow individuals to develop their knowledge and obtain higher-level qualifications in fields such as engineering, business, and leadership. With options for distance learning and personalized support, students can study at their own pace, making it easier to balance education with other commitments."
Free Online Courses,Los Alamitos,,United States,1-10 Employees,2016,"Online Tutorials is a dedicated service provider offering a diverse range of free online courses from top platforms like Udemy, Coursera, and more, covering various categories such as Web Development, Business, and Health. Additionally, they provide 100% off coupons for Udemy courses, allowing users to access valuable learning materials and earn certificates at no cost."
Cursos Grátis Online,Brazil,,Brazil,11-50 Employees,,"The company specializes in e-learning and offers over 3,000 free online courses aimed at professional qualification, with all courses designed to comply with Brazilian educational laws. They provide online study options and issue certificates upon course completion."
GetSmarter,Cape Town,,South Africa,251-500 Employees,2008,"GetSmarter, a brand of 2U, Inc., specializes in online education through partnerships with prestigious universities, offering a range of executive education and short courses focused on professional development. Their programs are designed to provide industry-relevant skills, covering topics such as Artificial Intelligence, Sustainability, Leadership, and Data Analysis."
