name,city,state,country,employees,founded,description
Greif,United States,,United States,10001+ Employees,1877,"Greif Inc. specializes in both uncoated and coated recycled paperboards, highlighting their expertise in paper coatings that enhance the quality of corrugated sheets and boxes. Their commitment to high-performance and decorative coatings ensures they meet diverse market needs."
Sonoco Products Company,Hartsville,,United States,10001+ Employees,1899,"Sonoco Products Company offers custom coating solutions, which may be relevant for those interested in coated paper. Their integrated packaging solutions enhance product quality and create unique customer experiences."
Siegwerk,Siegburg,,Germany,1001-5000 Employees,1830,"Siegwerk specializes in printing inks and coatings, particularly for paper and board applications, emphasizing their commitment to sustainable and responsible packaging solutions. Their focus on water-based inks and coatings aligns with the growing demand for eco-friendly coated paper options."
Twin Rivers Paper Company,Caribou,,United States,1001-5000 Employees,,"The company, Twin Rivers Paper, produces Bladepak®, a premium coated packaging paper known for its strong and durable finish, which enhances print fidelity and surface smoothness. Their portfolio also includes innovative papers engineered for specialized applications, emphasizing product innovation and manufacturing flexibility."
Graphic Packaging,Atlanta,,United States,10001+ Employees,1978,"Graphic Packaging International specializes in producing paper-based packaging, including advanced coatings and laminations for folding cartons that offer superior protection against moisture and grease. Their commitment to innovative packaging solutions emphasizes renewable and recyclable materials, enhancing printability and tactile performance."
WestRock,Norcross,,United States,10001+ Employees,1953,"WestRock offers CustomKote® paperboard, a coated natural kraft paperboard designed to withstand challenging supply chain conditions. Their commitment to sustainable packaging solutions highlights their innovative approach to meeting customer needs while supporting environmental goals."
Verso,Memphis,,United States,10001+ Employees,2006,"Billerud specializes in high-performing paper and packaging materials, including a range of coated web products designed for print communication. Their commitment to sustainability and quality ensures that their innovative coated papers meet both aesthetic and performance needs for effective branding."
Appvion,Appleton,,United States,1001-5000 Employees,1907,"Appvion, originally The Appleton Coated Paper Company, specializes in innovative coating solutions that enhance the printability and performance of paper products, including their Next Generation Technology and sustainable coatings for direct thermal labels. With over a century of expertise, Appvion is positioned as a leading provider of coated paper products, emphasizing sustainability and advanced technology in their offerings."
MM Packaging,Vienna,,Austria,5001-10000 Employees,1898,"MM Packaging specializes in packaging and printing services, including PE extrusion coating, which enhances cartonboard with a plastic layer for improved mechanical and barrier properties."
RP Paper Impex (P) Limited,Sahibzada Ajit Singh Nagar,,India,251-500 Employees,,"RP Paper Impex is a leading manufacturer and exporter of coated paper, offering a wide range of products tailored for various uses. Their commitment to quality and a strong supply chain network ensures they deliver above-market-standard coated paper products."
