name,city,state,country,employees,founded,description
Lingerie Emma,Repentigny,,Canada,11-50 Employees,2004,"Lingerie Emma is a specialized retailer offering a diverse selection of fine lingerie from over 30 brands, catering to women in a wide range of sizes. With a focus on personalized service, the store helps women find beautiful lingerie that suits their needs and body shapes."
La Perla,Bologna,,Italy,1001-5000 Employees,1954,"La Perla is a luxury fashion house that specializes in high-quality lingerie, combining innovative design with exceptional craftsmanship to enhance feminine beauty and elegance."
Wolford,Bregenz,,Austria,1001-5000 Employees,1950,"The company specializes in luxury fashion apparel, including lingerie, and emphasizes high-quality materials and innovative designs."
Outlet Lingerie,São Paulo,,Brazil,251-500 Employees,2008,"A Outlet Lingerie is a retail chain that specializes in lingerie and sleepwear, providing a wide selection of reputable brands at outlet prices for both women and men."
RougeGorge Lingerie,Wasquehal,,France,501-1000 Employees,,"RougeGorge is a leading lingerie brand, recently awarded ""Best Brand 2024"" in the lingerie and underwear category for the fifth consecutive year, highlighting its commitment to women's health and the planet. With 260 stores in France and Belgium, it offers a wide range of women's lingerie both in-store and online."
Sapeka Lingerie,Piracicaba,,Brazil,251-500 Employees,1999,"Sapeka Lingerie specializes in women's intimate apparel, offering a wide variety of products such as sexy lingerie, pajamas, and corsets. With a focus on quality craftsmanship and sensuality, the company has established itself in the fantasy lingerie sector, expanding its reach to international markets."
Lavinia Lingerie,Leesburg,,United States,1-10 Employees,2002,"Lavinia Lingerie specializes in beautifully-made and uniquely-styled lingerie, offering a diverse range of products for the modern woman, including plus size and bridal options. The company emphasizes comfort and style, empowering customers to feel fabulous for both everyday wear and special occasions."
Lingerie Mart Corp,Alpharetta,,United States,1-10 Employees,,"Lingerie Mart has established itself as a leading source for a wide variety of lingerie since 1997, leveraging strong relationships with global vendors to provide competitive pricing."
Journelle,New York,,United States,51-100 Employees,2007,"Journelle is a multi-brand retailer that specializes in luxury lingerie and women's intimate apparel, offering a curated selection of bras, shapewear, and sleepwear from various designers. The company emphasizes fit-tested and fashionable designs, including its own collection launched in 2014, aimed at helping women feel beautiful and confident."
Groupe Chantelle,Cachan,,France,1001-5000 Employees,,"Chantelle is a renowned manufacturer of lingerie with a legacy that dates back to 1876. The company is dedicated to high-quality design and production, emphasizing innovation and sustainability in its approach."
