name,city,state,country,employees,founded,description
CPG Optics Ltd.,Nanjing City,,China,51-100 Employees,1990,"The company specializes in optical components, laser components, and coating products, including UV coatings. With over 20 years of manufacturing experience and a global presence, they prioritize accuracy and customer satisfaction."
Sun Chemical,Parsippany-Troy Hills,,United States,10001+ Employees,1929,"Sun Chemical specializes in UV light-curing inks and coatings designed for high-speed web offset and sheetfed presses, making it a key player in providing innovative solutions for commercial printers. Their products are formulated for use on paper, board, and plastics, addressing diverse customer needs in the printing industry."
Digital UV Printer,Zhengzhou,,China,51-100 Employees,,"The company specializes in digital printing solutions, offering a range of products including small UV flatbed printers and UV roll-to-roll printers, highlighting their expertise in UV coating technology."
CoatMe,United States,,United States,1-10 Employees,1994,"Alberti Woodworking, Inc. specializes in UV-cured coatings, offering a variety of services including tinted UV coating and high wear coating. With over 20 years of experience, the company ensures high-quality finishes, making it a key player in the UV coating market."
DVUV,Cleveland,,United States,1-10 Employees,2005,"DVUV is a leading innovator in UV-cured powder coating, specifically for medium density fiberboard (MDF) wood. Their commitment to providing the latest UV-cured chemistry and finishing technology highlights their expertise in this area."
Essilor,Charenton-le-Pont,,France,10001+ Employees,1972,"Essilor is a prominent manufacturer in the ophthalmic optics industry, offering innovative solutions that enhance and protect eyesight. Their Blue UV Filter System represents their advanced filtration technology, highlighting their commitment to improving visual health."
VueGuard,Bangor,,United States,11-50 Employees,,"PCI Labs specializes in high-performance UV Cured Coatings designed for thermoplastic materials, enhancing their appearance and durability. Their products, including custom formulations, offer various protective features such as abrasion resistance and anti-fog properties."
Performance Coatings Int'l Laboratories LLC,Bangor,,United States,11-50 Employees,2010,"PCI Labs specializes in the application of UV curable coatings on various materials, including plastics and glass, making it a key player in the UV coating industry. They offer a range of related services, including toll coating and the production of optical filters for optoelectronic applications."
XRD Nano Limited,Sandown,,United Kingdom,11-50 Employees,2020,"The company specializes in high-performance UV resins and advanced UV casting machines, particularly for applications in flexible packaging, labels, and anti-counterfeiting. Their focus on UV replication technologies highlights their expertise in creating intricate microstructures like holograms and Fresnel lenses."
"United Lens Company, Inc.",Southbridge,,United States,101-250 Employees,1916,"United Lens Company offers a wide range of optical coating services, including UV coating, which is essential for enhancing the performance of various optical components. Their unique capability to handle the entire process—from forming to coating—ensures high quality and innovation in their products."
