name,city,state,country,employees,founded,description
RTape Corp,South Plainfield,,United States,101-250 Employees,1980,"Nekoosa specializes in the production of various specialty papers, including Digital Carbonless paper, which is designed for efficient use on a wide range of digital printers, allowing for the easy creation of multi-part forms. Their Digital Carbonless offerings ensure high-quality, legible images and are suitable for applications like service receipts and parking tickets."
Carbonless Forms Printing,New York,,United States,251-500 Employees,,"The Carbonless Forms specializes in manufacturing custom carbonless forms, including notepads and invoice books, that allow for easy duplication without the use of carbon paper, making them ideal for business documentation. Their products feature high-quality printing and a variety of configurations, ensuring fast turnaround times and the ability to create multiple copies efficiently and cleanly."
Ovenden Papers Limited,Harlow,,United Kingdom,51-100 Employees,1943,"Ovendens offers a diverse selection of high-performance carbonless papers, including the renowned Giroform and Reacto brands. These products are designed for exceptional printing quality and stability, making them ideal for multi-part forms such as invoices and contracts."
GOLDEN PAPER COMPANY LIMITED,Huangpu District,,China,51-100 Employees,,"Golden Paper Company Limited offers a variety of carbonless paper products, including different colors and sizes, made from 100% wood pulp. Their carbonless paper is designed for clarity and durability, making it suitable for invoices, receipts, and various reports."
Panda Paper Roll Company,Jinan,,China,51-100 Employees,2000,"Panda Paper Roll® specializes in various paper products, including carbonless paper, which is particularly useful for applications like guest checks. Their extensive manufacturing capabilities enable them to provide high-quality carbonless paper solutions for different industries."
Tele-Paper (M) Sdn Bhd,Shah Alam,,Malaysia,501-1000 Employees,1989,"TELE-PAPER is a prominent manufacturer of carbonless paper, among other thermal products, and is committed to innovation and quality, as evidenced by its ISO certifications. The company's extensive experience and global presence ensure a reliable supply of carbonless paper, particularly to Europe."
Printlink Online,Battle Creek,,United States,11-50 Employees,1994,"PrintLink specializes in high-quality custom carbonless paper products, including forms, receipt books, and continuous carbonless forms, which are ideal for creating multiple copies without carbon paper. Their offerings cater to various business needs, ensuring fast delivery and a range of customizable options."
NCCO International,East Staffordshire,,United Kingdom,51-100 Employees,,"NCCO International offers a variety of multi-ply carbonless till rolls, highlighting their expertise in sustainable foodservice solutions."
International Paper,Memphis,,United States,10001+ Employees,1898,"International Paper is a prominent manufacturer of renewable fiber-based products, including specialized inks and printing plates for various applications. Their focus on sustainable practices and innovative solutions aligns with the growing demand for environmentally friendly products."
Fishers Paperboard,Coquitlam,,Canada,1-10 Employees,,"The company, West World Paper, collaborates with Nekoosa to provide a diverse selection of high-quality carbonless paper products designed for both long-run offset and on-demand digital printing. This carbonless paper is ideal for applications like multipart forms, variable data forms, and barcoded forms, ensuring crisp and legible images through each ply."
