name,city,state,country,employees,founded,description
PaperFoam,Barneveld,,Netherlands,251-500 Employees,1998,"PaperFoam® offers biodegradable packaging solutions that are both biobased and compostable, making it an excellent alternative to traditional plastic packaging. With a focus on sustainability, PaperFoam® products reduce weight and are fully recyclable, supporting eco-friendly practices for over 20 years."
Bio Futura,Rotterdam,,Netherlands,11-50 Employees,2008,"The company specializes in biodegradable packaging and compostable tableware made from 100% renewable resources. Their products are designed to fully biodegrade within 9-12 weeks in an industrial composting facility, providing a sustainable alternative to traditional plastic disposables."
Pakka,Ayodhya,,India,501-1000 Employees,1981,"Pakka Limited is a manufacturer that specializes in biodegradable packaging solutions, particularly compostable products made from sugarcane waste. Their commitment to sustainability is evident in their range of 100% compostable tableware and flexible packaging, which are designed to be backyard compostable, thereby promoting eco-friendly practices."
Promateris,Buftea,,Romania,101-250 Employees,1957,"The company is a leading European manufacturer specializing in sustainable products, particularly bio-based compostable packaging. They have established themselves as a pioneer in the biodegradable packaging industry, offering a range of high-quality products that support the circular economy."
Good Natured Products,Vancouver,,Canada,11-50 Employees,2006,"The company specializes in creating biodegradable and compostable packaging products made from renewable resources, emphasizing their commitment to sustainability and eco-friendly practices. Their offerings include BPI certified compostable packaging and bioplastic food containers, helping customers make a positive environmental impact."
WestRock,Norcross,,United States,10001+ Employees,1953,"WestRock is a leader in sustainable, fiber-based packaging solutions and is committed to helping customers achieve their sustainability goals. Their Bio-Pak® foodservice packaging, made from Solid Bleached Sulfate (SBS) paperboard, emphasizes environmentally friendly practices."
EcoPackables,Encinitas,,United States,11-50 Employees,,"EcoPackables specializes in sustainable packaging, offering a wide range of 100% compostable and biodegradable options, including bubble mailers and polybags. Their commitment to sustainability and innovative custom designs makes them a key player in the eco-friendly packaging market."
Hotpack Global,Dubai,,United Arab Emirates,1001-5000 Employees,1995,"The company emphasizes its commitment to providing a wide range of packaging solutions, including a focus on eco-friendly and biodegradable alternatives. This dedication to sustainability is integral to their mission of meeting the evolving needs of clients and the global market."
Greenvale Eco Products,Ichalkaranji,,India,251-500 Employees,2012,"Greenvale Eco Products focuses on manufacturing biodegradable and compostable tableware from renewable resources, offering a sustainable alternative to plastic packaging. Their products are designed to withstand various conditions, making them suitable for industries aiming to adopt eco-friendly practices."
Better Packaging Co.,Waitematā,,New Zealand,11-50 Employees,2018,"Better Packaging Co. specializes in eco-friendly and compostable packaging solutions, including their innovative line of compostable satchels. The company's commitment to sustainability and reducing environmental impact is evident in their use of recycled materials and custom-branded packaging options."
