name,city,state,country,employees,founded,description
THE GARDEN FURNITURE CENTRE LIMITED,Stratford-on-Avon,,United Kingdom,11-50 Employees,2010,"The Garden Furniture Centre, established in 2000, offers a wide range of high-quality garden furniture, including over 2000 products in their online catalogue. They emphasize competitive pricing and provide free cushions with many of their aluminium pieces, making it an excellent destination for garden furniture enthusiasts."
Garden Furniture Spain,Calp,,Spain,51-100 Employees,2008,"The company offers a wide range of garden furniture, including teak dining sets and outdoor accessories designed to enhance alfresco living. Their modern grey pergola emphasizes durability and aesthetics, making it a great addition to any garden space."
Nova Outdoor Living,Basildon,,United Kingdom,11-50 Employees,,"Nova Outdoor Living specializes in innovative garden furniture, offering customizable collections that emphasize style, comfort, and durability. Their products feature stain-resistant and weather-resistant options, ensuring long-lasting use for various occasions and preferences."
JB Furniture Limited,Wakefield,,United Kingdom,11-50 Employees,1870,"The company offers a vast collection of the latest garden furniture styles for 2024, available for online purchase with free mainland UK delivery or in-store viewing."
Churnet Valley Garden Furniture,United Kingdom,,United Kingdom,51-100 Employees,2012,"Churnet Valley Garden Furniture specializes in eco-friendly wooden garden furniture, offering a diverse range of handcrafted products designed to last up to 20 years. Their furniture is made from responsibly sourced timber, ensuring durability and sustainability."
Suns Lifestyle,London,,United Kingdom,11-50 Employees,2019,"Suns Lifestyle offers a high-quality range of contemporary garden furniture designed for style, comfort, and durability. Their products are fully weatherproof and low maintenance, allowing you to enjoy your outdoor space with peace of mind, supported by a reassuring 5-year warranty."
Wickes,Watford,,United Kingdom,5001-10000 Employees,1986,"The company offers a variety of outdoor and garden furniture, including garden chairs and sun loungers, catering to both individual consumers and trade professionals."
Outdoorfurniture.ie Garden Furniture Ireland,Dublin,,Ireland,1-10 Employees,2009,"OutdoorFurniture.ie is your premier destination for high-quality garden furniture in Ireland, offering a vast selection that includes stylish dining sets and loungers. With products from leading brands like Alexander Rose and Hartman, the company is dedicated to helping you create an elegant outdoor living space that reflects your personal style."
Internet Gardener,Nottingham,,United Kingdom,11-50 Employees,2006,"Internet Gardener is a leading garden furniture retailer in the UK, offering one of the largest online selections to help homeowners enhance their outdoor spaces. With a focus on quality, style, and expert advice, they provide a diverse range of garden furniture and supplies, making them a trusted resource for transforming gardens into inviting areas."
Concept Furniture Hire International Limited,Wyre Forest,,United Kingdom,51-100 Employees,1996,"Concept Furniture International Ltd offers a diverse selection of contemporary and modern furniture for hire, including garden chairs. Their extensive inventory caters to various tastes and budgets, making it suitable for events and gatherings."
