name,city,state,country,employees,founded,description
Palladium Group,London,,United Kingdom,1001-5000 Employees,1998,"Palladium is dedicated to making the world a better place through collaborative models and systemic approaches. With a presence in over 90 countries, they implement international development programs that link social and financial results, aiming to drive lasting social and economic development."
Palladium Group of Companies GEIE,Luxembourg,,Luxembourg,251-500 Employees,1880,Palladium Group of Companies is a privately owned real estate entity that focuses on portfolio and development investments.
Palladium Technologies Inc,Fort Lauderdale,,United States,11-50 Employees,1991,"Palladium Technologies aims to be a leading provider of technology-based integrated solutions, focusing on innovation in yacht management systems. Their flagship product, SiMON, is highly regarded for its comprehensive monitoring and control features, making it a benchmark in the industry."
PALLION GROUP PTY LIMITED,Sydney,,Australia,101-250 Employees,2014,"Pallion has been a key player in the Australian precious metals industry since 1951, offering a wide range of products and services. It is now Australasia's largest independent precious metal services group, which includes notable entities like ABC Bullion and ABC Refinery."
PALLADIUM BOOTS,Saint-Priest,,France,51-100 Employees,1947,"Palladium has a rich history as a trusted choice for explorers, starting as a manufacturer of airplane tires in the 1920s. Their iconic boots and innovative models, like the Pallabrousse Legacy, reflect a commitment to durability and heritage, making them a popular choice for those seeking both style and resilience."
Palladium by Primenumbers,Bengaluru,,India,11-50 Employees,2016,"Palladium is a powerful analytical tool designed to enhance your bidding success with features like Possible Bidders, Estimated Bid price, and Market Share analytics. It simplifies the bidding process, providing a personalized dashboard for performance tracking and insights into your bidding history."
Palladium Insurance,Ottawa,,Canada,11-50 Employees,1972,"Palladium Insurance is an independent brokerage that offers a wide range of insurance products, including personal and corporate insurance. Their expertise spans various sectors, ensuring tailored solutions for clients' diverse needs."
Pandora,Copenhagen,,Denmark,10001+ Employees,1982,"Pandora is a manufacturer of hand-finished jewellery, primarily using recycled silver and gold, and has a strong commitment to sustainability."
Palantir Technologies,Denver,,United States,1001-5000 Employees,2003,"Palantir is a software company that specializes in data integration, analysis, and visualization, offering advanced tools that support critical problem-solving across various sectors, including national security, healthcare, and finance. Notably, Palantir Foundry for Crypto provides cutting-edge technology specifically designed for leading crypto companies."
Palladium Recycling Pty Ltd,Johannesburg,,South Africa,11-50 Employees,2003,"Palladium Recycling (PPMR) specializes in high purity precious metals, including palladium, with a minimum purity of 99.99%. The company actively purchases and processes used catalytic converters and other scrap materials to recover valuable metals like palladium and rhodium, making it a key player in the precious metals recycling industry."
