name,city,state,country,employees,founded,description
Brainsway,Jerusalem,,Israel,51-100 Employees,2003,"BrainsWay is a leader in noninvasive neurostimulation treatments, particularly through its Deep Transcranial Magnetic Stimulation (Deep TMS™) technology, which is clinically proven for conditions like major depressive disorder and treatment-resistant depression. Dr. Mark S. George, an expert in brain stimulation methods including deep brain stimulation, has significantly contributed to the understanding and development of new treatments for psychiatric disorders."
Barrow Neurological Institute,Phoenix,,United States,501-1000 Employees,1962,"Barrow Neurological Institute is a pioneer in neurological healthcare, having become the first center to implant a new deep brain stimulation (DBS) system designed by Boston Scientific. This innovative Vercise Directional DBS System enhances the ability to control electrical stimulation, potentially improving treatment for Parkinson’s disease and patient comfort."
"ev3, Inc",Plymouth,,United States,1001-5000 Employees,2000,"Medtronic offers the Percept™ PC neurostimulator, a cutting-edge deep brain stimulation (DBS) system that incorporates BrainSense™ technology to capture and analyze brain signals. This innovative approach provides clinicians with real-time, objective data to enhance treatment decisions for patients with conditions like Parkinson's disease."
Glo-Bio Inc.,Mount Laurel Township,,United States,1001-5000 Employees,,"Global Biotech is a leading distributor of biological technologies, offering the rDBSA, a high-resolution multichannel probe specifically designed for deep brain stimulation (DBS) research in animal models. This innovative probe enhances neural interface capabilities, allowing for more precise and selective microstimulation of deep brain structures, which is crucial for advancing DBS techniques."
Neuronetics,Malvern,,United States,101-250 Employees,2003,"Neuronetics, Inc. specializes in NeuroStar® Advanced Therapy, a non-invasive treatment using focused magnetic pulses to target Major Depressive Disorder and now also OCD and anxious depression. This approach enhances neuroplasticity without the side effects of medication, making it a compelling alternative for those who have not found relief through traditional therapies."
Parkinson’s Group,Hyderabad,,India,1-10 Employees,,"The Parkinson's Group specializes in advanced medical treatments, including Deep Brain Stimulation (DBS) surgeries, for Parkinson's disease and other neurological disorders. Their comprehensive approach to DBS ensures that only suitable candidates receive the procedure, which involves implanting electrodes in the brain to regulate nerve activity and reduce symptoms."
Neurology Associates P.A.,San Antonio,,United States,11-50 Employees,1998,"Neurology Associates offers Deep Brain Stimulation (DBS) as a treatment for symptoms associated with Parkinson’s disease, essential tremor, and dystonia. The clinic's experienced team specializes in this advanced therapy, which involves implanting an electrode in the brain to modulate nerve activity."
SpecialtyCare,Brentwood,,United States,101-250 Employees,2006,"SpecialtyCare is a prominent provider of clinical services, including deep brain stimulation (DBS), which is crucial for treating movement and psychiatric disorders such as Parkinson's disease and essential tremor. Their team of highly trained neurophysiologists utilizes advanced techniques like microelectrode recording and stimulation mapping to ensure precise placement of DBS leads, thereby enhancing patient outcomes and minimizing side effects."
G.Tec Medical Engineering,Schiedlberg,,Austria,101-250 Employees,2004,"g.tec medical engineering specializes in neurotechnologies, including deep brain stimulation, offering high-performance brain-computer interfaces and solutions for brain analysis and rehabilitation. Their products are designed for both research and clinical settings, ensuring advanced care for brain injuries and disorders."
Achieve TMS Centers LLC,San Diego,,United States,51-100 Employees,2016,"Achieve TMS is a prominent provider of Deep Transcranial Magnetic Stimulation (dTMS) therapy, focusing on non-invasive treatments for depression and related mental health issues. Their approach targets specific brain regions to enhance mood regulation, offering a promising option for patients with treatment-resistant depression."
