name,city,state,country,employees,founded,description
FALCON PACK COMPANY LLC,Manama,,Bahrain,10001+ Employees,,"Shell Fisheries is a manufacturer of high-quality frozen seafood products, including shrimp. With over 40 years of expertise, the company ensures premium quality and sustainable practices in its sourcing and processing."
PT Panca Mitra Multiperdana Tbk,Surabaya,,Indonesia,5001-10000 Employees,2004,"PT Panca Mitra Multiperdana Tbk (PMMP) is a prominent shrimp processor and exporter in Indonesia, known for its high-quality frozen shrimp products, including fully cooked ready-to-eat shrimp. With a significant production capacity and a focus on major global markets, PMMP serves both retail and food service sectors."
Grupo Lamar,Venezuela,,Venezuela,,,"Grupo LAMAR is a Venezuelan manufacturer and exporter that specializes in the shrimp industry, particularly in the breeding, processing, and export of White Vannamei shrimp. With over 25 years of experience, the company ensures high-quality standards and complete product traceability."
Phillips,Baltimore,,United States,10001+ Employees,1914,"Phillips Seafood offers delicious Shrimp Potstickers, which feature a blend of tender shrimp, crisp vegetables, and glass noodles, making them a perfect addition to any menu. With over 65 years of experience in high-quality seafood products, the company emphasizes quality in all its offerings."
Prime Shrimp,New Orleans,,United States,51-100 Employees,2018,"The company specializes in providing premium frozen shrimp sourced from sustainable farms in Ecuador, ensuring superior flavor and texture without antibiotics. They offer a variety of easy-to-use shrimp products, including their Signature Seasoned shrimp, designed for quick and delicious meals."
Shrimpy Co,Tehran,,Iran,,,"Shrimpy is a leading Iranian manufacturer and exporter of premium-quality shrimp and seafood products, boasting over 25 years of experience and extensive shrimp farming operations. The company emphasizes its commitment to delivering high-quality, antibiotic-free shrimp, making it a key player in the global shrimp market."
Bubba Gump Shrimp Co.,Houston,,United States,10001+ Employees,1996,"The Shrimpossibles, part of the Bubba Gump Shrimp Co. family, specializes in seafood, with a menu that prominently features shrimp, ensuring a delightful dining experience for customers."
Rich Products Corporation,Buffalo,,United States,10001+ Employees,1945,"Rich Products specializes in a variety of food products, including frozen shrimp and shellfish."
UNIMA,France,,France,1001-5000 Employees,,"UNIMA DISTRIBUTION specializes in high-quality shrimp from Madagascar, known for its exceptional taste and sustainable fishing practices. The company is a leader in the premium seafood market and emphasizes its commitment to eco-friendly aquaculture."
XpertSea,Quebec,,Canada,11-50 Employees,2011,"xpertSea is revolutionizing the shrimp aquaculture industry by using technology and data to enhance production and sustainability. They emphasize that shrimp can be a cost-effective and environmentally friendly protein source, promoting practices that increase transparency and profitability for producers while ensuring responsible selling methods."
