name,city,state,country,employees,founded,description
Westbury Packaging Ltd,Melksham,,United Kingdom,51-100 Employees,1983,"The company offers a variety of packaging solutions designed to protect products during transit, including custom polyurethane foam inserts. Their focus on sustainable and high-quality packaging may provide alternatives to traditional bubble wrap."
Abco Kovex,Dublin,,Ireland,11-50 Employees,1987,"Abco Kovex is a prominent manufacturer and distributor of packaging supplies, including Bubble Wrap, which they produce in-house, ensuring high quality and robust packaging solutions for various markets. Their extensive product range and commitment to efficiency and sustainability make them a key player in the packaging industry."
Intertape polymer group,Sarasota,,United States,1001-5000 Employees,1981,"Emerald Bubble, a product from IPG, is a high-quality bubble wrap specifically designed to offer excellent cushioning and protection for fragile and valuable items during transportation and storage. Its unmatched flexibility and strong burst strength make it suitable for various industries, including food processing, electronics, and pharmaceuticals."
Macfarlane Packaging,Coventry,,United Kingdom,251-500 Employees,1949,"Macfarlane Packaging offers paper bubble wrap in various sizes, designed to wrap items and fill gaps in packages, enhancing product protection during storage and transit."
UK Packaging Supplies,London,,United Kingdom,251-500 Employees,1984,"UK Packaging offers a variety of small bubble wrap, which is ideal for wrapping products to provide excellent protection during transit. Their small bubble wrap features protective air-filled bubbles that conform to the shape of the contents, ensuring cushioning for fragile items, and is available in different widths and with anti-static options."
Humi Pak,-,,-,,,"Humi Pak specializes in providing high-quality bubble wrap, a protective packaging solution designed to cushion fragile items and prevent damage during transit. Their inflatable bubble wrap system offers space-saving storage and efficient usage, making it a cost-effective choice for various industries."
Storopack España,Sant Boi de Llobregat,,Spain,1001-5000 Employees,1874,"Storopack offers PAPERbubble®, a sustainable and economical protective packaging solution made from renewable materials, ideal for wrapping and cushioning small to medium-sized goods. The product features user-friendly perforations for flexibility in usage and is 100% recyclable, making it an excellent option for those seeking effective and eco-friendly packaging alternatives."
Polyair Inter Pack,Canada,,Canada,1001-5000 Employees,1968,"Polyair is a prominent manufacturer of protective packaging, offering a wide range of products, including bubble wrap. Their AirSpace Air Pillows are specifically designed for cushioning and void fill during shipping, making them a versatile solution for various packaging needs."
Storopack Italia,Bentivoglio,,Italy,1001-5000 Employees,1874,"Storopack offers PAPERbubble®, an innovative protective packaging solution that serves as a natural wrapping for small to medium-sized goods, providing effective void fill, wrapping, and cushioning. Made from renewable raw materials and fully recyclable, PAPERbubble® is designed for user-friendly application and flexibility in choosing the right amount of packaging."
Bubble Paper,Greenville,,United States,11-50 Employees,2015,"Bubble Paper specializes in innovative, plant-based packaging solutions, including their environmentally-friendly Bubble Paper cushioning wrap, which serves as a high-performance alternative to traditional plastic bubble wrap. Their products are fully recyclable, biodegradable, and designed to protect fragile items during shipping, making them a sustainable choice for eco-conscious consumers."
