name,city,state,country,employees,founded,description
The Coookware Company,Town of Greenburgh,,United States,1001-5000 Employees,2007,"The company emphasizes its commitment to innovative and sustainable cookware, highlighting its PFAS-free enameled cookware and the Blue Diamond range, which features ultra-durable ceramic non-stick options. With a focus on healthy cooking solutions, the company is rapidly expanding its portfolio, making it a key player in the cookware market."
Meyer Cookware Australia,Melbourne,,Australia,51-100 Employees,1996,"Cookware Brands offers an extensive selection of over 500 high-quality cookware products, catering to home chefs of all skill levels. With a commitment to durability and affordability, they provide everything from frypans to stockpots, ensuring you'll find the perfect cookware for your culinary needs."
Vollrath,United States,,United States,1001-5000 Employees,1874,"The company, Vollrath Foodservice, has a long history of providing high-quality commercial cooking equipment, emphasizing efficiency and ease of use in demanding kitchen environments. Additionally, Pujadas has developed a comprehensive portfolio of professional cookware and equipment."
Metcalfe Catering Equipment Ltd,United Kingdom,,United Kingdom,11-50 Employees,1928,"The company specializes in manufacturing and distributing world-class food preparation equipment, including cookware."
Nordic Ware,Minneapolis,,United States,251-500 Employees,1946,"Nordic Ware is a renowned manufacturer of American-made cookware, offering a diverse range of over 400 unique items, including high-quality cookware and bakeware. With over 70 years of experience, the company ensures rapid innovation and efficient manufacturing processes, making it a key player in the cookware industry."
Wonderchef Home Appliances,Mumbai,,India,501-1000 Employees,2009,"Wonderchef Kitchenware is a manufacturer of premium cookware, offering a diverse range that caters to modern cooking enthusiasts. Their Ceramide Non-stick Casserole Set emphasizes health and convenience, making it an appealing choice for those looking to enhance their cooking experience."
ProCook,Gloucester,,United Kingdom,501-1000 Employees,1996,"ProCook specializes in high-quality cookware, offering a diverse range of products that cater to various customer needs. With a commitment to sustainability and direct-to-consumer sales, ProCook ensures value for money and a focus on long-term growth."
Zhejiang Supor,Hangzhou City,,China,10001+ Employees,1998,"Supor, a leading brand in China's cookware industry and a significant player globally, specializes in cookware and electric kitchen appliances. With over 150 years of history and multiple design awards, Supor is well-established in this market."
Meyer,Vallejo,,United States,251-500 Employees,1980,"Meyer is a prominent manufacturer of a diverse array of cookware products, featuring well-known brands like Anolon and Circulon. With a commitment to innovation and quality, Meyer ensures exceptional cooking ware for both casual cooks and professional chefs."
Shijiazhuang Sarchi Trade Co. Ltd,Shijiazhuang,,China,11-50 Employees,2013,"Sarchi Cookware utilizes advanced production lines and a professional QC team to ensure the quality and durability of their cookware. They cater to a global market, providing a range of products, including Dutch ovens, grill pans, and cast iron skillets."
