name,city,state,country,employees,founded,description
Nextera Energy,United States,,United States,10001+ Employees,1985,"The company, NextEra Energy, is a leading provider of clean energy solutions, specializing in solar energy generation. It is committed to achieving a carbon emissions-free power sector by 2045 through innovative technologies, which aligns with the growing interest in concentrated solar power."
BrightSource Energy,Oakland,,United States,251-500 Employees,2004,"BrightSource is focused on advancing solar technology and integrating it with innovative storage and energy management solutions. Their expertise in optimizing distributed power dispatch positions them as a key player in creating sustainable and reliable electric grids, which is crucial for the future of concentrated solar power."
Soltec Power Holdings,Molina de Segura,,Spain,1001-5000 Employees,2004,"Soltec is dedicated to innovation and sustainable development in the energy sector, focusing on advanced photovoltaic solutions. Their commitment to cutting-edge technology positions them as a leader in the global photovoltaic energy market."
Capital Energy,Pozuelo de Alarcón,,Spain,251-500 Employees,2002,"The company specializes in the development and promotion of renewable energy projects, particularly in solar energy. With over 20 years of experience, it operates photovoltaic installations in Spain and Portugal, providing 100% renewable energy to consumers."
Flux Solar ☀️,Chile,,Chile,251-500 Employees,2011,"The company is a Chilean manufacturer and service provider with over 10 years of experience in solar energy projects, focusing on plant design, engineering, construction, and maintenance, which is highly relevant to concentrated solar power initiatives."
Heliogen,Pasadena,,United States,101-250 Employees,2013,"Heliogen specializes in concentrated solar power, offering a modular solar thermal energy solution designed to replace fossil fuels in industrial applications. Their innovative systems utilize AI and advanced technology to produce dispatchable and cost-competitive clean energy, including process steam and green hydrogen."
Soltec Trackers,Livermore,,United States,501-1000 Employees,2004,"Soltec is a leading manufacturer of single-axis solar trackers, emphasizing efficient photovoltaic energy production. With a strong commitment to innovation and sustainability, the company plays a significant role in advancing solar energy technology."
Azure Power,New Delhi,,India,501-1000 Employees,2008,"The company is a prominent player in India's renewable energy sector, having developed the country's first utility-scale solar project in 2009. With a renewable energy portfolio of over 7.3 GW, including significant solar power assets, they are dedicated to advancing sustainable energy solutions and reducing global emissions."
Tata Power Renewable Energy,Mumbai,,India,1001-5000 Employees,1911,"Tata Power is actively contributing to a sustainable future through its significant advancements in solar energy, including the commissioning of India's largest solar and battery energy storage project in Chhattisgarh."
Soventix Caribbean SRL,Santo Domingo,,Dominican Republic,51-100 Employees,2014,"The company specializes in the design and development of high-efficiency solar energy projects, focusing on renewable energy solutions in the Caribbean and Central America."
