name,city,state,country,employees,founded,description
V&S Galvanizing,Columbus,,United States,1001-5000 Employees,1968,"V&S Galvanizing specializes in hot-dip galvanizing services, offering a range of value-added services for various industries, including transportation and packaging. They provide customized seminars and are dedicated to quality work and customer satisfaction."
Jindal,Howrah,,India,251-500 Employees,1952,"The company specializes in manufacturing industrial products, including a variety of galvanized steel items such as sheets and coils, catering to both domestic and international markets. With a production capacity of 350,000 MTPA, the company ensures high quality and compliance with industry standards."
Titan Steel,Baltimore,,United States,51-100 Employees,1946,"Titan Steel Corporation specializes in galvanized steel products, offering a comprehensive range of specifications and qualities to meet diverse needs. Their expertise in product design and development ensures high-quality materials that can enhance technical characteristics or reduce costs."
Metalwest,Brighton,,United States,251-500 Employees,,"Metalwest is a prominent processor and distributor of galvanized steel, providing a range of sheet and coil products in various grades and sizes. Their galvanized steel offerings are noted for excellent corrosion resistance, making them a reliable choice for diverse applications."
Kloeckner Metals Corp.,Roswell,,United States,1001-5000 Employees,1973,"Kloeckner Metals Corporation offers a wide range of galvanized steel products in various formats and sizes, providing solutions for companies across different industries. They also provide detailed information and services related to galvanized steel, ensuring customers have access to the grades and products they need."
Atkore International,Harvey,,United States,1001-5000 Employees,2010,"Atkore offers a range of products, including Galvanized Steel IMC, highlighting its expertise in electrical and infrastructure solutions."
ArcelorMittal Dofasco,Hamilton,,Canada,5001-10000 Employees,1912,"ArcelorMittal Dofasco specializes in producing a variety of hot dip galvanized (zinc coated) steel products, offering options in different steel qualities and coating thicknesses to meet diverse end-use requirements. This focus on innovative and sustainable steel solutions underscores the company's role in advanced manufacturing."
Salit Steel,Niagara Falls,,Canada,501-1000 Employees,1905,"Salit Steel is a manufacturer and service provider that specializes in steel solutions, including a comprehensive range of products such as galvanized steel. The company emphasizes strong customer relationships and delivers value across various industries."
Tata Steel,Mumbai,,India,10001+ Employees,1907,"Tata Steel produces a variety of galvanized steel products, including galvanized roof sheets and plain sheets, which are manufactured using advanced technology to ensure corrosion resistance."
GalvaSteel W.L.L,Qatar,,Qatar,251-500 Employees,2018,"Galva Steel is a prominent service provider specializing in the galvanization process, utilizing advanced technologies to deliver high-quality services in the steel industry. With a significant market share in Qatar, the company focuses on expanding its operations and offers comprehensive services that cater to the growing demands of the local market."
