name,city,state,country,employees,founded,description
PublishDrive,Temecula,,United States,11-50 Employees,2014,"PublishDrive is a comprehensive self-publishing platform that enables indie authors and publishers to publish and distribute ebooks, audiobooks, and print books online. With tools for ebook conversion, marketing, and access to over 400 online stores, it streamlines the self-publishing process and supports authors in maximizing their royalties."
Lulu Press,Morrisville,,United States,51-100 Employees,2002,"Lulu is a leading self-publishing service provider that empowers creators to publish their books using innovative print-on-demand technology. With a range of services including editing, cover design, and direct-to-consumer sales through platforms like Shopify and WooCommerce, Lulu simplifies the self-publishing process and enables authors to retain customer data and profits."
Author Solutions,Bloomington,,United States,1001-5000 Employees,2007,"Author Solutions is a leader in supported self-publishing, providing technology and services that make the publishing process easy, affordable, and accessible to authors. With over a decade of expertise, they empower authors to bring their books to readers through strategic alliances with major publishers."
Publishing Xpress,Madison Heights,,United States,11-50 Employees,2010,"Publishing Xpress is a dedicated service provider for online self-publishing and printing, offering a variety of binding options and solutions tailored for books, booklets, catalogs, and magazines. With a focus on cost-effectiveness, fast turnaround times, and exceptional customer service, they make self-publishing accessible and efficient, even providing discounts for nonprofit organizations."
InterPro Solutions,United Kingdom,,United Kingdom,1-10 Employees,2003,"The company offers comprehensive self-publishing solutions, guiding authors from manuscript creation to final publication. Their services include design, editing, eBook conversion, and marketing support, ensuring authors retain full royalties and profits."
Draft2Digital,United States,,United States,11-50 Employees,2012,"Draft2Digital offers tools and services that simplify the self-publishing process, allowing authors to concentrate on writing while handling layout, publishing, distribution, and print-on-demand paperbacks."
Print On Demand (POD),Parow,,South Africa,51-100 Employees,2015,"The company is dedicated to supporting self-publishing by offering comprehensive printing and distribution services, including eBook conversion and audiobook recording, which help authors and publishers effectively share their stories with a global audience. Their turn-key solutions and partnerships with major retailers ensure a high-quality, customized experience that addresses the common challenges of storage and inventory costs."
The Write Order,Bengaluru,,India,11-50 Employees,2019,"Indiepress offers comprehensive self-publishing services, including book cover design, editing, proofreading, and marketing, all within 30 days. The company also ensures authors receive the highest royalties in the country, making it an attractive option for those looking to publish their work."
Educart,India,,India,251-500 Employees,,"The company specializes in publishing services, offering a comprehensive range of products and solutions for authors and creators, including editorial support, design, and distribution of both printed and digital media."
Publishing Partner,San Diego,,United States,1-10 Employees,2012,"Publishing Partner specializes in providing comprehensive book publishing services for independent and self-publishing authors, supporting them throughout the entire process to help achieve top sales rankings. They emphasize inclusivity, allowing authors to retain 100% of their royalties and offering additional services like ghostwriting."
