name,city,state,country,employees,founded,description
Red Gold,Elwood,,United States,1001-5000 Employees,1942,"The Red Gold family has a long-standing tradition of producing high-quality tomato products, including their 24 oz Tomato Ketchup. Their commitment to working with local farmers ensures that they source the best tasting tomatoes."
Ketchup Group,Weston-super-Mare,,United Kingdom,11-50 Employees,2011,"Ketchup specializes in helping people develop innovative products and services, providing essential tools such as marketing and logistics to bring ideas to market efficiently."
Stokes Sauces,East Suffolk,,United Kingdom,51-100 Employees,2004,"The company specializes in manufacturing a variety of sauces and condiments, including several types of Tomato Ketchup. They focus on using real food ingredients and offer their products in different formats, catering to various customers across industries."
Gulf Food Products Company شركة الخليج للمواد الغذائية,Sahab,,Jordan,251-500 Employees,2003,"The company offers a variety of ketchup products, including different sizes like PET 910 gm and PET 570 gm, highlighting their commitment to high product quality."
Kraft Heinz,Mendota,,United States,10001+ Employees,2015,"The Kraft Heinz Company is a prominent player in the food and beverage industry, known for its extensive range of condiments and sauces, which likely includes ketchup. With a commitment to quality and sustainability, Kraft Heinz has a rich history of producing beloved food products."
Ketchup Please LLC,United States,,United States,11-50 Employees,2018,"The company is revolutionizing the ketchup industry with its organic, no-sugar-added products, emphasizing a healthier alternative for consumers."
Nilons Enterprises Pvt Ltd,Pune,,India,1001-5000 Employees,1962,"Nilon’s India Private Limited offers a high-quality Tomato Ketchup made from the best quality tomatoes, making it an ideal accompaniment for snacks. Their commitment to excellence ensures that consumers receive only the best products, including their popular ketchup, which can be conveniently ordered online."
Kayco / Kedem / Manischewitz,Bayonne,,United States,501-1000 Employees,1958,"Kayco offers Haddar 24 Oz Ketchup, a popular condiment known for its rich tomato flavor, making it a staple in many homes. The company prides itself on maintaining high kosher standards and adapting to food trends."
Tops,India,,India,501-1000 Employees,1984,"TOPS is a prominent food processing company that offers a variety of products, including tomato ketchup, which highlights its commitment to quality and superior taste."
Cremica Food Industries,Mumbai,,India,501-1000 Employees,1978,"Cremica is a prominent name in India known for its high-quality Tomato Ketchup, among other condiments and sauces. The company emphasizes innovation and quality, operating the country's largest tomato ketchup line, which underscores its expertise and commitment to delivering great-tasting food products."
