name,city,state,country,employees,founded,description
Pharma Medica Research,Mississauga,,Canada,251-500 Employees,1998,"Pharma Medica specializes in bioanalytical services, offering high-throughput sample handling, custom method development, and over 500 validated methods, all conducted in compliance with GLP regulations. Their dedicated bioanalytical department ensures the integrity and validity of data through rigorous quality control and a proactive approach to method development."
Anapharm Bioanalytics,Barcelona,,Spain,51-100 Employees,2003,"Anapharm Bioanalytics is a specialized bioanalytical contract research organization that offers a comprehensive range of bioanalytical services, including pharmacokinetic studies and biomarker testing, for both small and large molecules. With over 30 years of experience and state-of-the-art technology, the company ensures reliable data and compliance with regulatory standards, supporting pharmaceutical development throughout all stages."
KCAS Bio,Olathe,,United States,251-500 Employees,1979,"KCAS Bioanalytical and Biomarker Services specializes in comprehensive GLP/GCP compliant development services for the pharmaceutical, biotechnology, and medical device industries, with a strong focus on bioanalytical services. Their expertise includes immunogenicity analysis, clinical sample analysis, and pharmacokinetic studies, supporting clients throughout the drug development process."
Aptiv Solutions,Reston,,United States,501-1000 Employees,1983,"ICON plc offers specialized bioanalytical services through its dedicated laboratories, providing high-quality analytical testing for pharmacokinetics, immunogenicity, biomarkers, and more. With a team of over 580 bioanalysis experts and a robust portfolio of validated assays, ICON ensures timely and reliable results that support the drug development process across all phases."
Axis Clinicals,Kallur,,India,501-1000 Employees,2014,"AXIS Clinicals Limited offers a comprehensive range of bio-analytical services, including custom method development, assay validation, and sample analysis using advanced LC-MS/MS and other techniques. With over a decade of experience and a method data bank of 500+ validated assays, AXIS ensures compliance with international regulatory standards, making it a key player in supporting pharmaceutical development."
Medpace,Cincinnati,,United States,1001-5000 Employees,1992,"Medpace offers integrated bioanalytical services through its state-of-the-art laboratories, providing method development, validation, and analysis of biological samples for both small and large molecules. Their expertise includes advanced techniques like LC-MS/MS and supports various stages of clinical research, ensuring accurate and high-quality results in a timely and cost-effective manner."
Pharmaron,Waltham,,United States,1001-5000 Employees,2003,"Pharmaron offers specialized bioanalytical testing services that support various biopharmaceuticals, including antibodies, peptides, and vaccines. Their expertise includes method development, validation, and analysis of preclinical and clinical samples."
Alliance Pharma,Malvern,,United States,51-100 Employees,2008,"Resolian is a Contract Research Organization (CRO) that specializes in bioanalytical services, offering a comprehensive range of capabilities including method development, validation, and sample analysis using advanced LC-MS/MS techniques. Their expertise supports all phases of drug development for both small and large molecules, ensuring compliance with regulatory guidelines and delivering reliable results for pre-clinical and clinical studies."
Celerion,Lincoln,,United States,501-1000 Employees,2010,"Celerion offers comprehensive bioanalytical services, specializing in the analysis of small and large molecules throughout all phases of drug development. With over 40 years of experience and state-of-the-art facilities, they ensure high-quality data through advanced methods and a commitment to scientific excellence."
Bio-Analytical Technologies,India,,India,51-100 Employees,2003,"BioAnalytical Technologies (BAT) specializes in bioanalytical services, offering comprehensive method development and validation through its fully equipped analytical laboratory. With a strong focus on integrating applied sciences and advanced technologies, BAT serves various sectors, including pharmaceuticals and life sciences, ensuring adherence to stringent quality standards."
