name,city,state,country,employees,founded,description
The Brandy Company,Sofia,,Bulgaria,1-10 Employees,,"The Brandy Company specializes in the distillation of high-quality spirits derived from wine, offering a range of brandy products with varying alcohol content. They also provide convenient delivery services for large quantities, ensuring customers receive the best distillates to meet their needs."
VP Brands International,Plovdiv,,Bulgaria,1001-5000 Employees,,"VP Brands International is a prominent Bulgarian manufacturer known for its high-quality alcoholic beverages, including brandy. Their brand, Lion D'or, exemplifies this commitment, requiring a minimum of three years of aging in oak barrels to develop a rich flavor profile and smooth finish."
Brandy Creativity & Technology,Costa Rica,,Costa Rica,51-100 Employees,2015,Brandformance is a full-service advertising agency that specializes in creating memorable brands through emotional storytelling and innovative strategies.
Radico Khaitan Limited,New Delhi,,India,1001-5000 Employees,1999,"Radico Khaitan Limited is a prominent manufacturer of Indian Made Foreign Liquor, including its renowned Whytehall Premium Brandy, which is described as the perfect after-dinner drink that can enhance relaxation or spark lively conversations."
London Distillers Kenya,Nairobi,,Kenya,5001-10000 Employees,1985,"The company, LDK, offers a diverse portfolio of over 25 brands, including a selection of premium brandies such as Safari Brandy, Napoleon Crown Brandy, Napoleon Gold Brandy, and XO Brandy, all crafted to provide exquisite flavor and aroma."
Cervecería Nacional,Guayaquil,,Ecuador,1001-5000 Employees,1887,"Cervecería Nacional is a prominent player in Ecuador's food and beverage industry, focusing on high-quality beer production. Their extensive portfolio of well-known brands and commitment to local development highlight their significant role in the market."
Brander Group Inc,Scottsdale,,United States,11-50 Employees,2016,"The company specializes in facilitating the transfer and sale of IPv4 addresses, ensuring a transparent and efficient process for clients. Their team of experts provides valuable guidelines and support, drawing on relationships with over 600 global service providers to offer competitive pricing and faster service."
Constellation Brands,Town of Victor,,United States,1001-5000 Employees,1945,"Constellation Brands is a prominent manufacturer and marketer of spirits, which may include brandy among its diverse portfolio of high-end alcoholic beverages."
Brandywine Realty Trust,Philadelphia,,United States,251-500 Employees,1985,"Brandywine Realty Trust is a forward-thinking real estate development and management company that emphasizes innovative architecture and sustainable design. They offer a variety of workplace environments and tenant support initiatives, aiming to create collaborative and productive settings that foster community and connectivity."
Famous Brands,Midrand,,South Africa,1001-5000 Employees,1960,"Famous Brands is a prominent player in the food services industry, operating a variety of well-known restaurant brands. The company's extensive supply chain and diverse product offerings highlight its capability to support its franchise partners effectively."
