name,city,state,country,employees,founded,description
Bertrandt AG,Ehningen,,Germany,,,"Bertrandt delivers AI-powered Quality Management solutions to master complexity: from intelligent risk and FMEA optimization to streamlined regulatory management—ensuring speed, compliance, and efficiency in fast-paced development environments."
Adastra,Toronto,,Canada,,,"Engage with a trusted AWS, Google Cloud, and Microsoft partner that will help you maximize your investments in AI and machine learning. OUR PORTFOLIO: AI Strategy and AI Governance, Generative AI, Predictive Analytics and Machine Learning, Computer Vision, Hyperautomation, ML Ops and AI Platforms."
IV.AI,Los Angeles,,United States,51-100 Employees,2016,"The company, IV.AI, specializes in artificial intelligence, offering solutions in machine learning, natural language processing, and decision-making powered by AI."
Empower AI,Reston,,United States,1001-5000 Employees,1989,"Empower AI specializes in providing mission-critical AI technology to federal agencies, enhancing workforce productivity through automation and predictive technologies. Their solutions are tailored to meet the unique security and transparency requirements of the federal government, enabling agencies to achieve significant efficiencies while managing costs."
[24]7.ai,San Jose,,United States,10001+ Employees,2000,"[24]7.ai is a technology company that specializes in customer engagement solutions through conversational artificial intelligence. Their platform, [24]7 Engagement CloudTM, enhances interactions by integrating AI applications like the [24]7 AI Virtual Agent (AIVA), which automates voice and digital engagements, and [24]7 Agent Assist AI, supporting contact center staff."
Persistent Systems,Santa Clara,,United States,1001-5000 Employees,1990,
M47 Labs,Barcelona,,Spain,51-100 Employees,2018,"The company highlights its leadership in the AI solutions sector, emphasizing a team of technical experts and a strong focus on developing innovative AI products. They offer tailored AI applications that leverage generative models and large language models, enhancing business operations and decision-making."
Tryolabs,Montevideo,,Uruguay,51-100 Employees,2009,"The company specializes in tailored artificial intelligence solutions, offering a comprehensive range of services throughout the AI lifecycle, including machine learning, deep learning, and natural language processing. Their expertise enables clients to enhance their capabilities and build scalable AI solutions."
Anfactor AI™,Sydney,,Australia,251-500 Employees,2019,"The company has established itself as a leading AI solutions provider, specializing in finance and banking, and leveraging advanced technology, including artificial intelligence, to drive business transformation. Their expertise in AI is further exemplified by AnfactorAI, an intelligent chatbot designed to simulate human-like conversations."
Huawei Cloud APAC,Malaysia,,Malaysia,10001+ Employees,,Huawei Cloud & AI specializes in artificial intelligence innovations and offers a range of AI development tools that enhance operational efficiency and drive digital transformation for enterprises. Their ModelArts platform significantly reduces manual data processing costs and streamlines the development and deployment of high-precision AI models.
