name,city,state,country,employees,founded,description
Nanotech Industrial Solutions,Woodbridge Township,,United States,101-250 Employees,2012,"Nanotech Industrial Solutions is a prominent player in the nanotechnology sector, having developed and commercialized unique lubricant nanomaterials for various industries. With exclusive rights to manufacture high-performance nanomaterials, the company emphasizes its strong research and development capabilities."
Nanofilm Technologies International,San Jose,,Philippines,1001-5000 Employees,1999,"Nanofilm Technologies International Limited is a leading provider of nanotechnology solutions, specializing in the integration of nanotechnology into advanced materials and products. Their expertise includes innovative processes like FCVA technology and PVD-based solutions that enhance product performance and sustainability."
JK Nanosolutions,Bengaluru,,India,1-10 Employees,,"JK Nanosolutions has developed a nanotechnology-based treatment method for wastewater, which has been successfully applied to textile effluents from various locations in India. The company focuses on creating innovative, cost-effective nanotech products for efficient wastewater treatment."
Ilia High-Tech Company,Tehran,,Iran,,,"Ilia High-Tech Company specializes in high-tech products and services driven by nanotechnology, offering innovative solutions and technology transfer for the production of advanced goods. With access to state-of-the-art equipment and skilled professionals, the company enhances value chains and supports clients in achieving their strategic goals."
Ad-nanotech,Shivamogga,,India,11-50 Employees,2013,"The company specializes in enhancing nanotechnology, offering customized solutions across various sectors, including polymers, electronics, and energy. They are a leading manufacturer of graphene and other nanomaterials, providing different grades and forms tailored for diverse industrial applications."
Nanophase Technologies,Romeoville,,United States,51-100 Employees,1989,"Nanophase is a global provider that specializes in engineered nanomaterial technologies, developing and selling a wide range of nanomaterial products for various markets. With a strong focus on nanoparticle production and a robust intellectual property portfolio, the company integrates commercially scaled nanomaterial technologies."
Nanotechnology Now,-,,-,,,"The company provides a specialized service for monitoring nanotechnology developments and intellectual property, highlighting its focus on this advanced field."
Creative Nano,Municipality of Peristeri,,Greece,11-50 Employees,2013,"Cnano offers electroplating services that span from lab-scale to semi-industrial production, emphasizing their capability to develop innovative custom solutions. Their experience in prototyping and materials characterization aligns with the emerging applications of nanotechnology."
NanoLab Inc.,Waltham,,United States,11-50 Employees,2000,"NanoLab is a specialized product development and contract research organization that focuses on nanotechnology-enabled products, including sensors, composites, and nanoscale devices. They are a leading manufacturer of high-quality carbon nanotubes and have developed innovative applications for them, such as nanotube-based tweezers and coatings."
ONI,Oxford,,United Kingdom,51-100 Employees,2016,"ONI highlights its advanced imaging techniques, such as PALM and TIRF, which are essential for nanoscale research and single-molecule dynamics. Their cloud-based CODI software also offers sophisticated clustering analyses, supporting researchers in the field of nanotechnology."
