name,city,state,country,employees,founded,description
Mediterranean Shipping Company,Geneva,,Switzerland,10001+ Employees,1970,"MSC is a global container shipping company that offers a full portfolio of shipping solutions for various types of cargo, including perishable goods. Their modern and efficient fleet ensures safe transport and optimal conditions throughout the journey, supported by a vast global network that enables fast and reliable transit times."
MacAndrews,Hamburg,,Germany,501-1000 Employees,1770,"Containerships, now part of CMA CGM, offers safe and reliable container shipping services that emphasize sustainability and fast transit. Their revamped service provides an ideal connection for transporting fresh products, significantly reducing carbon emissions for intra-Europe shipments."
CMA CGM Ventures,Marseille,,France,10001+ Employees,1978,"CMA CGM Group is a leading player in container shipping, managing a fleet of 593 vessels and transporting 21.7 million TEU containers in 2022. Their extensive global operations and commitment to logistics innovation position them as a key service provider in the maritime industry."
Maritime Transport Ltd,East Suffolk,,United Kingdom,1001-5000 Employees,1974,"Maritime Transport has established a robust operation focused on container shipping, featuring a dedicated container storage facility at the Port of Ipswich and a network of strategic rail freight terminals. Their extensive services include container repair, storage, and refurbishment, supported by a modern fleet and partnerships that enhance their supply chain capabilities."
CMA CGM,Marseille,,France,10001+ Employees,1978,"CMA CGM Group is a global leader in container shipping, operating a fleet of 593 vessels that serve over 420 ports worldwide. The company offers comprehensive shipping and logistics solutions, emphasizing innovation and sustainability in its operations."
iContainers,Barcelona,,Spain,51-100 Employees,2007,"The company, part of the Agility group, specializes in container shipping, offering full container load (FCL) services as a cost-effective way to transport large volumes of freight by sea. Their collaboration with Shipa Freight enhances their service and geographical reach, providing customers with expert solutions for their shipping needs."
cargo-partner,Fischamend,,Austria,1001-5000 Employees,1983,"cargo-partner is a comprehensive info-logistics provider that offers a wide range of sea transport solutions, emphasizing quality and innovation in their services. With nearly 40 years of experience and a strong global presence, the company is well-equipped to create efficient logistics solutions tailored to customer needs."
CaroTrans,Clark,,United States,501-1000 Employees,1979,"CaroTrans is a leading global NVOCC and ocean consolidator, emphasizing exceptional service in container shipping. They have announced a General Rate Increase (GRI) for shipments from China, Hong Kong, and Taiwan to the USA."
SHIP & C.R.E.W الشركة الهندسية للحاويات,Alexandria,,Egypt,251-500 Employees,1993,"Ship & C.R.E.W. offers specialized container shipping services, emphasizing their commitment to enhancing port operations and international trade supply chain solutions. Their focus on agility and customer support positions them as a key player in the container shipping sector."
ICL Ltd,Glen Allen,,United States,51-100 Employees,1981,ICL is a leading Trans-Atlantic shipping line that offers a highly reliable container shipping network connecting the United States and Europe. Their commitment to exceptional service and industry-leading delivery reliability makes them a top choice for critical and deadline-sensitive shipments.
