name,city,state,country,employees,founded,description
Medical Tourism Corporation,Dallas,,United States,11-50 Employees,2007,"Medical Tourism Corporation (MTC) specializes in facilitating medical travel, connecting clients with affordable and high-quality treatments at certified healthcare facilities in various countries. They offer a wide range of procedures, including bariatric, dental, and cosmetic surgeries, while managing all aspects of the travel experience to ensure client satisfaction."
World Medical Tourism & Global Healthcare Congress,Palm Beach Gardens,,United States,11-50 Employees,2007,"MedicalTourism.com serves as a vital resource in the medical tourism sector, connecting patients with a wide array of international providers and offering valuable insights through its comprehensive portal. The company also features the Medical Tourism Index™, which evaluates countries based on their attractiveness as medical tourist destinations, making it an essential tool for anyone exploring healthcare options abroad."
FIND GLOBAL CARE LTD,Evesham Township,,United States,11-50 Employees,2009,"Health-Tourism.com is a dedicated platform that connects patients with reputable medical centers around the world, making it a valuable resource for those seeking medical tourism options. With a user-friendly interface and a network of 300 medical centers across over 30 countries, the company empowers international patients to make informed decisions about their healthcare."
Medical Tours,New Delhi,,India,11-50 Employees,2019,"MedicalTours is a prominent medical tourism company in India that offers affordable and high-quality medical treatments by connecting patients with top doctors and hospitals. The company's extensive network and focus on ethical care ensure a comprehensive approach to healthcare, making it a reliable choice for those seeking medical services abroad."
MediJourn™,Hyderabad,,India,51-100 Employees,2019,"MediJourn is the world's largest medical tourism company, dedicated to creating a well-organized medical travel ecosystem that ensures exceptional care for patients. They partner with leading hospitals and specialize in various medical fields, offering a seamless healthcare experience for medical travelers."
Healthtrip,India,,India,11-50 Employees,2018,"HealthTrip is a leading player in the medical tourism sector, offering a comprehensive platform that facilitates health and wellness travel. They provide personalized assistance for medical journeys, connecting patients with clinicians and offering a wide range of treatments in popular destinations like India, Turkey, UAE, and Thailand."
Tourismo,Herzliya,,Israel,11-50 Employees,2019,"Tourismo specializes in providing comprehensive business solutions for entrepreneurs entering the Medical Tourism sector, particularly focused on cosmetic treatments. They offer a robust suite of tools, including a tailored CRM, marketing support, and connections to top-tier clinics globally, addressing the growing demand for cosmetic procedures abroad."
American Medical Care,Washington,,United States,11-50 Employees,2014,"American Medical Care is a prominent health tourism agency that offers comprehensive medical tourism services in the United States and beyond, connecting clients to top hospitals and facilities for various medical needs. Their focus on quality care at affordable prices, along with trip planning and post-recovery support, positions them as a key player in the medical tourism sector."
Treatment Abroad,Dacorum,,United Kingdom,11-50 Employees,2005,"Treatment Abroad is a dedicated service provider for medical tourism, offering extensive resources for individuals looking for international healthcare options, particularly in areas like dental care, cosmetic surgery, and fertility treatments. With over 14 years of experience, the company helps patients make informed decisions about clinics and doctors abroad, highlighting the growing trend of medical travel."
Mediglobe Medical Treatment Facilitation Services,Dubai,,United Arab Emirates,11-50 Employees,2021,"Mediglobe is a licensed medical tourism facilitation company based in Dubai, UAE, that connects medical tourists with healthcare providers, ensuring quality treatment plans within budget. They streamline the medical journey by assisting clients with medical visas and offering exclusive healthcare packages."
