name,city,state,country,employees,founded,description
Fitzpatrick Business Systems,Limerick,,Ireland,11-50 Employees,1983,"FBS is a prominent IT services company that offers a variety of solutions, including Managed Print Services. With a focus on meeting the IT needs of clients in Ireland, FBS provides dedicated support and cutting-edge products to enhance business networks."
Xerox,Norwalk,,United States,10001+ Employees,1960,"Xerox offers comprehensive Managed Print Services that go beyond traditional solutions by integrating analytics, cloud, digitization, and ConnectKey technologies to enhance efficiency and security in the workplace."
Lexmark,Lexington,,United States,10001+ Employees,1990,"Lexmark's Managed Print Services provide a streamlined approach to printing, enhancing simplicity, security, and sustainability while driving cost savings. Their solutions are designed to support businesses of all sizes, enabling digital transformation and reducing the IT burden."
ManagedPrint,Florence,,United States,51-100 Employees,2003,"ManagedPrint offers a cost-per-print model that includes toner, parts, and labor, making it a comprehensive solution for managing printer fleets. Their services focus on controlling costs, boosting efficiency, and enhancing security, which are key benefits of Managed Print Services."
MPS Company,Dubai,,United Arab Emirates,51-100 Employees,,"MPS Company, a leading provider of managed print services under the GHOBASH GROUP, specializes in optimizing efficiency through innovative technologies and a multi-vendor approach. They monitor clients for maximum uptime and offer tailored document management solutions."
Konica Minolta,Tokyo,,Japan,10001+ Employees,1873,"Konica Minolta offers Managed Print Services (MPS), providing transparency and control over your entire printing environment, which is essential for creating value through data and effectively connecting people, places, and technologies in the modern workplace."
Ricoh Business Information Solutions,Malvern,,United States,10001+ Employees,1962,"Ricoh offers a comprehensive Print-in-One Service that includes cloud printing and managed print services, providing customers with a subscription model that simplifies billing and enhances business agility."
Flex Technology Group,Mesa,,United States,501-1000 Employees,2005,"Ultrex specializes in Managed Print Services, offering customized production print solutions and advanced software that enhance workflows and data security. With over three decades of experience, Ultrex is well-equipped to help organizations optimize their printing processes, resulting in increased efficiency and improved customer satisfaction."
SysPrint AG,Schlieren,,Switzerland,11-50 Employees,1996,"Sysprint AG is a specialized service provider in Managed Print Services, offering a wide array of solutions that encompass printing software, hardware, and supplies. Their services also include support, installation, and maintenance, making them a comprehensive resource for all printing needs."
Canon Solutions America,Town of Huntington,,United States,10001+ Employees,1971,"Canon Solutions America specializes in integrated systems technology within the document management industry, offering a comprehensive range of products and tailored solutions that enhance productivity and optimize document workflows. Their PRISMAproduction Host Print Management Software is particularly relevant for managed print services."
