name,city,state,country,employees,founded,description
ADNOC Group,Abu Dhabi,,United Arab Emirates,10001+ Employees,1971,"The company is a prominent energy producer in the oil sector, actively involved in the exploration, production, and distribution of hydrocarbons, including Murban Crude."
ExxonMobil,Irving,,United States,10001+ Employees,1870,"ExxonMobil has a substantial portfolio in heavy oil, producing 442,000 barrels per day, which highlights its commitment to providing reliable energy while also investing in lower-emission solutions to support a net-zero future."
Oil and Natural Gas Corporation,New Delhi,,India,10001+ Employees,1955,"The company, ONGC, is India's largest crude oil and natural gas corporation, actively engaged in the exploration and production of petroleum resources. With a strong emphasis on energy security, ONGC has developed in-house capabilities to enhance its operations in the oil and gas sector."
Aramco,The Hague,,Netherlands,10001+ Employees,1948,"FGP is a prominent player in the energy sector, focusing on gas processing and refining, and is involved in oil exploration and operations. The company’s advanced technologies and expanding gas processing capacity highlight its significant role in energy production."
World Oil Corp.,South Gate,,United States,501-1000 Employees,1940,"World Oil offers a variety of high-quality refined crude oil products, emphasizing sustainability and environmental protection in their operations. Their commitment to recycling and transporting vital petroleum products showcases their focus on creating a safer and more sustainable future."
Chevron Energy Solutions,San Francisco,,United States,251-500 Employees,2000,"Chevron Corporation is actively engaged in exploring for oil and natural gas, which directly relates to the query about crude oil. The company's commitment to meeting the world's energy demands highlights its role in the oil industry."
Wood,Aberdeen City,,United Kingdom,10001+ Employees,1912,"Wood has secured an $80 million contract extension with Equinor to provide maintenance and modification solutions for their offshore assets, highlighting its significant role in the oil and gas sector."
Sören Lundgren Byggkonsult AB,Houston,,United States,10001+ Employees,1926,"SLB is a technology company that provides comprehensive solutions for the oil and energy sector, specializing in crude oil treatment processes such as multiphase separation, dehydration, and desalting. Their expertise in oil field services and advanced digital solutions enhances the efficiency and sustainability of crude oil preparation for pipelines and refineries."
Orpic,Al Ghubra,,Oman,10001+ Employees,,"OQ is a prominent player in the oil and energy sector, providing a variety of products, including refined products. The company's commitment to innovation and operational expansion suggests a strong focus on enhancing its offerings in this market."
EP PETROECUADOR,Quito,,Ecuador,5001-10000 Employees,,"EP Petroecuador is a key player in the oil and gas industry, overseeing the entire value chain, which includes exploration, production, and refining of crude oil and energy products."
