name,city,state,country,employees,founded,description
Waste Management,Houston,,United States,10001+ Employees,1968,The company specializes in waste management services.
Total Waste Management Ltd,Basildon,,United Kingdom,51-100 Employees,1989,"TotalWM is a specialized service provider in waste management, focusing on the recycling and recovery of various materials, including metals and general waste. The company is dedicated to sustainable waste management practices and offers comprehensive solutions for different waste streams, aligning with the principles of effective waste management."
Partners In Hygiene Ltd,Darlington,,United Kingdom,251-500 Employees,2006,"Leadec provides comprehensive waste management services for production facilities, ensuring sustainable and legally compliant practices. Their offerings include customized cleaning concepts and end-to-end solutions that support the overall hygiene and maintenance of production environments."
Waste Pro USA,United States,,United States,1001-5000 Employees,2001,Waste Pro is dedicated to transforming the waste and recycling industry through innovative solutions and a commitment to environmental responsibility. Their focus on personal customer service and community investment highlights their leadership in waste management practices.
HHM Facility Management LLC,Branson,,United States,501-1000 Employees,2007,"HHM Facility Management offers recycling services as part of its comprehensive facility management solutions, addressing waste management needs across various sectors. With over 25 years of experience, the company ensures efficient operations while adhering to budgetary constraints."
"Waste Connections, Inc",Vaughan,,Canada,10001+ Employees,2002,"Waste Connections is dedicated to enhancing environmental quality through cost-effective waste management solutions. They specialize in the handling of various types of waste, including hazardous materials, and offer a range of services to meet the needs of different communities and businesses."
Waste Carriers SA,Cape Town,,South Africa,251-500 Employees,,"Waste Carriers Pty Ltd is an accredited Waste Management Service Provider in South Africa, offering a variety of waste management solutions, including collection, treatment, and disposal. With 19 years of experience, the company emphasizes sustainable practices and is dedicated to promoting a clean and healthy environment."
Progressive Waste Solutions,Vaughan,,Canada,10001+ Employees,2000,"The company is dedicated to enhancing environmental quality through effective waste management solutions. They provide comprehensive services, including solid waste collection, recycling, and landfill disposal, for various sectors, ensuring a positive impact on the communities they serve."
Republic Services,Phoenix,,United States,10001+ Employees,1998,"Republic Services, Inc. is a leader in recycling and non-hazardous solid waste disposal in the U.S., providing effective environmental services through a network of collection companies, transfer stations, recycling centers, and landfills. The company is dedicated to sustainability and offers reliable solutions for proper recycling and waste disposal for its 14 million customers."
Waste Resource Management,Houston,,United States,251-500 Employees,,"Waste Resource Management (WRM) specializes in liquid waste management and recycling, emphasizing green initiatives to divert waste from landfills. Their services include innovative processing methods that transform liquid waste into renewable energy products and valuable ingredients for animal feed."
