name,city,state,country,employees,founded,description
PubMatic,Temecula,,United States,501-1000 Employees,2006,"PubMatic, founded in 2006, is focused on data-driven decision-making in digital advertising, emphasizing programmatic advertising solutions and omnichannel strategies. With a commitment to innovation and technology infrastructure, PubMatic aims to empower publishers through advanced advertising technologies."
OpenX,Pasadena,,United States,251-500 Employees,2007,"OpenX is a pioneering programmatic advertising platform that is Net-Zero verified and CarbonNeutral® certified, emphasizing its commitment to reducing environmental impact while enhancing business outcomes. With a robust cloud-based infrastructure and industry-leading technology, OpenX facilitates greater reach for buyers and increased revenue for publishers across various formats."
Programmads,Brussels,,Belgium,11-50 Employees,,"Programmads is a dedicated advertising technology reseller that offers comprehensive support for programmatic advertising, assisting clients from full-service management to self-service access. They focus on equipping agencies and brands with the necessary tools and strategies to enhance their digital marketing efforts, particularly in the complex landscape of advanced marketing and advertising technologies."
Mediassociates,Danbury,,United States,51-100 Employees,1996,"Mediassociates utilizes a Precision Branding approach that leverages data innovation to enhance programmatic advertising performance. Their subsidiary, eEffective, specializes in programmatic buying while maintaining a commitment to transparency and integrity in media transactions."
The Programmatic Company,Paris,,France,11-50 Employees,2015,"The Programmatic Company specializes in programmatic digital advertising, offering managed services and software solutions that enhance the efficiency and precision of media buying. Their proprietary platform allows for the management of complex campaigns across various channels, featuring tools for ROI optimization and real-time performance analysis."
Vidgyor,Bengaluru,,India,11-50 Employees,2013,"VIDGYOR is a specialized ad-tech company that offers programmatic advertising solutions for online live TV, enabling streamlined access to advertise on over 80 Indian TV channels. Their V-DART TV service reaches a large audience, enhancing revenue opportunities through advanced media technology."
OMS,Israel,,Israel,51-100 Employees,1999,"The company specializes in programmatic advertising, offering proprietary solutions that help publishers and app developers maximize revenue through tailored strategies and advanced optimization tools."
Programmatic Advertising LTD,London,,United Kingdom,11-50 Employees,2018,"Programmatica specializes in programmatic advertising, offering innovative solutions for online marketing through efficient ad buying and selling. Their approach is designed to enhance business growth by delivering tailored, results-driven campaigns that effectively reach target audiences."
SmartyAds,New York,,United States,101-250 Employees,2013,"SmartyAds is a leading digital advertising software developer that specializes in innovative programmatic advertising solutions. By leveraging advanced technologies like Machine Learning and AI, SmartyAds transforms the programmatic landscape, making it simpler and more profitable for advertisers and publishers."
AdDIG Digital Advertising,Hungary,,Hungary,11-50 Employees,2013,"The company specializes in programmatic digital advertising solutions, providing on-demand services that integrate seamlessly with existing teams. Their expertise includes campaign management and innovative rich media solutions, making them a key partner for brands and agencies in the ad-tech space."
