name,city,state,country,employees,founded,description
Siebel Elektronik GmbH,Kreuztal,,Germany,,,"At Siebel Elektronik, we focus on the manufacture of specialized high-voltage power supplies that are tailored to the demanding requirements of medium-and high-voltage. Our high-insulation power supplies have been used in power plants, substations and offshore wind turbines around the world for over 20 years."
Esquire Electronics Ltd.,Dhaka,,Bangladesh,1001-5000 Employees,1977,"Esquire Electronics Ltd. specializes in consumer electronics, offering a wide range of products from well-known brands like GENERAL and SHARP. Their portfolio includes various home appliances and air conditioning units, highlighting their commitment to high-quality consumer electronics."
Sony Electronics,San Diego,,United States,10001+ Employees,1946,"The company offers a range of Sony Electronics products, including televisions, audio equipment, cameras, and mobile devices. They also provide free shipping and virtual consultations to enhance the consumer experience."
Lite-On Technology,Taipei,,Taiwan,,,"LITE-ON Technology is a prominent manufacturer of electronic components, providing a diverse array of products for consumer electronics, including hardware solutions for mobile devices and automotive electronics. The company's commitment to innovative technologies and sustainable practices further enhances its offerings in this sector."
DealerGeek - Toyota Motor Corp - Japan,-,,-,,,"Dealer Geek is a technology solutions provider that specializes in IT infrastructure and offers a range of services, including customized programming and telephony solutions. Their Car Switch subsidiary supplies enterprise end-user devices like computers and mobile devices, which are essential in the consumer electronics sector."
Luxshare Precision,Shenzhen,,China,10001+ Employees,2004,"Luxshare-Technologies is a global manufacturer that specializes in cable assembly and connector system solutions specifically designed for consumer electronics, among other applications. The company's commitment to flexible design and innovative products positions it as a key player in the consumer electronics sector."
Tech Supplier Inc.,Hackensack,,United States,11-50 Employees,2009,"Tech Supplier is a global partner for consumer electronics brands, offering bespoke solutions and managing entire product portfolios. With a decade of experience, they are recognized as trustworthy and reliable experts in the consumer electronics sector."
AA/AAA/18650 智能电池充电器,Shenzhen,,China,501-1000 Employees,2009,"The company is an excellent manufacturer of innovative consumer electronics, offering both OEM and ODM electronics manufacturing services."
Lotus Electronics,Indore,,India,501-1000 Employees,2000,"Lotus Electronics is a prominent electronics retail chain in Central India, offering a wide selection of renowned brands such as Apple, Sony, and Samsung. The company emphasizes a comprehensive shopping experience, providing customers with various electronic products, including TVs, mobile phones, and laptops, both in-store and online."
Dream Telecom For Electronics (Dream 2000 stores),Cairo,,Egypt,251-500 Employees,2000,"The company specializes in mobile and electronic devices, offering a range of products including smartphones, laptops, and wearables."
