name,city,state,country,employees,founded,description
Christoph Bornebusch GmbH & Co. KG,Siegen,,Germany,,,"Bornebusch is a leading supplier of semi-finished products and precision-machined parts made of non-ferrous metals and steel. With decades of expertise, we are your reliable partner for slide bearings, finished components, and everything related to non-ferrous metals and steels."
Bronze Labs,Telford,,United Kingdom,11-50 Employees,2011,"Bronze Software Labs is a UK-based software manufacturer that specializes in mobile application development and offers scalable enterprise solutions for aggregating Big Data across the IoT. Their expertise includes augmented reality and iBeacon deployments, focusing on delivering innovative mobile experiences."
Grupo Bronze,São Paulo,,Brazil,251-500 Employees,2018,"Bronze Segurança provides 24/7 security services with highly trained professionals, ensuring the protection of assets and personnel. With over five years of experience, they offer optimized service at competitive prices, making them a key player in the security and surveillance market in Brazil."
Bronzeshield Lifting Ltd,United Kingdom,,United Kingdom,51-100 Employees,1986,"Bronzeshield Lifting specializes in crane rental services, offering a range of Mobile Telescopic Cranes with lifting capacities from 40 to 500 tonnes, which may be relevant for projects involving bronze or related materials. Their services are available on a Contract Lift Basis or as hired and managed, ensuring flexibility and support for various lifting needs."
Italbronze - Brazil,Guarulhos,,Brazil,501-1000 Employees,1958,"Italbronze is a manufacturer that specializes in high-quality bronze components, utilizing advanced technologies to produce a wide range of parts for various industrial applications. With over 60 years of experience, the company serves diverse sectors, ensuring a strong presence in the bronze market."
BRONZE ALU Group,La Couture-Boussey,,France,51-100 Employees,2004,"Bronze Alu is committed to preserving natural resources by using only recycled raw materials for the production of its alloys, highlighting its focus on sustainability and quality."
Best Bronze,Miami,,United States,11-50 Employees,2004,"Best Bronze is a cosmetics manufacturer that focuses on healthy tanning, offering a variety of clean, vegan, and cruelty-free products. They are known for their innovative airbrush tanning system and were the first to develop a self-tanning aerosol spray in Brazil."
Albron,Utrecht,,Netherlands,1001-5000 Employees,1889,"Albron is a leading foodservice organization in the Netherlands, specializing in catering and providing healthy meal options across sectors like healthcare and education. With nearly 1,000 locations and a commitment to high-quality foodservice, Albron ensures clients receive fresh and nutritious meals tailored to their needs."
Bronze Magazine,New York,,United States,1-10 Employees,2010,"Bronze ™ is a digital and print publication that empowers women of color by providing positive content related to beauty, lifestyle, and wellness. Their mission is to create a safe space for women to feel good and supported, fostering a community that motivates and uplifts one another."
Bronze Craft Corporation,Nashua,,United States,51-100 Employees,1944,"Bronze Craft Corporation specializes in casting engineered products using bronze, brass, and aluminum alloys. They offer a variety of standard materials, including white bronze and red bronze, ensuring high-quality solutions for both commercial and residential applications."
