name,city,state,country,employees,founded,description
Union Fabrics Pvt. Ltd,-,,-,,,"Union Fabrics specializes in a wide range of woven fabrics, including those for home textiles and kitchen linen. With a strong production capacity and advanced facilities, the company ensures high-quality finished products like bedding and drapes, catering to global buyers."
Lincraft,Melbourne,,Australia,1001-5000 Employees,1950,"Lincraft offers a variety of pure linen fabrics that are durable and breathable, making them ideal for clothing and homewares. The fabrics are available in different widths and can be purchased by the metre, catering to diverse crafting needs."
Fabric Pandit,Surat,,India,251-500 Employees,2019,"The company, Fabric Pandit, offers a premium 60 Lea pure linen fabric in a Snow White and blue delicate stripes pattern, highlighting its durability, lightweight nature, and comfort. This linen fabric is also weatherproof, antibacterial, and breathable, making it ideal for office wear."
CLEAN Linen & Workwear,Surrey Heath,,United Kingdom,1001-5000 Employees,1886,"CLEAN is a prominent UK manufacturer specializing in professional linen rental services, offering a wide range of products such as bed linen and table linen, which directly addresses the query about linen fabric. Their commitment to quality and customer satisfaction ensures tailored services for the hospitality sector."
120% LINO,Sant'Agata Bolognese,,Italy,51-100 Employees,,"Linen is a natural and sustainable fabric that offers a luxurious feel and exceptional comfort, making it a stylish choice for a wardrobe. The company, 120% LINO, emphasizes the eco-friendly and ethical production of high-quality linen garments, highlighting its timeless elegance and innovative qualities."
Fabricville,Montreal,,Canada,501-1000 Employees,1970,"Fabricville offers a variety of linen fabrics, including the Paris Linen - Natural, which is known for its exceptional absorbency and ability to keep garments cool in hot weather. This makes it an excellent choice for clothing like blouses and dresses, as well as home textiles such as tablecloths and napkins."
Live Linen,Jaipur Municipal Corporation,,India,1-10 Employees,2020,"Live Linen specializes in high-quality linen products, offering a diverse range of exquisite textiles such as curtains, tablecloths, and beddings, all made from European Flax Certified linen. Their commitment to creating chemical-free, stylish, and comfortable linen items makes it easy for customers to incorporate linen into their home decor and wardrobe."
Dinesh Exports Private Limited,India,,India,251-500 Employees,1990,"Dinesh Exports is a prominent manufacturer and exporter of woven fabrics, including a variety of linen textiles. With a commitment to sustainability and over 25 years of experience, the company offers high-quality linen blends, such as the Linen Blends White Aop Printed Woven Fabric (FC-DEPL3710)."
DARSHAN CREATION PRIVATE LIMITED,India,,India,251-500 Employees,2001,"Darshan Creation is a leading manufacturer of suiting and shirting fabric in India, with a strong focus on linen as a sustainable and premier product. Their commitment to quality and specialization in linen production highlights their expertise in this fabric type."
Standard Textile,Sint-Martens-Latem,,Belgium,1001-5000 Employees,1940,"Standard Textile specializes in providing a diverse range of innovative textiles, including fabrics suitable for healthcare and hospitality settings. Their emphasis on durability and sustainability through advanced fiber technology makes them a key player in the fabric industry."
