name,city,state,country,employees,founded,description
imimobile (part of Webex),London,,United Kingdom,1001-5000 Employees,2000,"Webex CPaaS Solutions, previously known as imimobile, focuses on transforming customer experience (CX) through its cloud communications platform, Webex Connect, which enables seamless, automated, and scalable customer interactions. Recognized as a Visionary in the Gartner Magic Quadrant for CPaaS, the company emphasizes the importance of integrating various communication channels to enhance engagement and deliver intuitive customer journeys."
IMImobile,London,,United Kingdom,501-1000 Employees,1999,"Webex CPaaS Solutions aims to transform customer experience (CX) through its cloud communications platform, Webex Connect, which facilitates seamless and scalable customer interactions. Recognized as a Visionary in the Gartner Magic Quadrant for CPaaS, the platform offers tools for orchestrating and automating customer journeys, making it a key player in enhancing engagement across various channels."
iBasis,Burlington,,United States,501-1000 Employees,1996,"iBASIS is a key player in the CPaaS market, offering a comprehensive suite of cloud communications solutions that empower carriers to provide programmable messaging and voice services to their enterprise customers. Their innovative Bring Your Own Carrier (BYOC) model and diverse CPaaS solutions enable rapid revenue generation and support the urgent demand for new collaborative tools and applications, particularly in the context of digital transformation."
PaaSoo Technology Limited,Kowloon,,China,101-250 Employees,2016,"PaaSoo Technology specializes in cloud communication solutions, offering a range of APIs and applications that enhance customer engagement through scalable services like SMS messaging and user verification. With a focus on reliability and a global reach, PaaSoo empowers businesses to leverage mobile technology for effective communication."
IntelePeer,United States,,United States,101-250 Employees,2003,"IntelePeer specializes in advanced communication solutions, offering a robust CPaaS platform that integrates AI and analytics to enhance customer interactions. Their tools optimize customer service processes through automation and omnichannel communication, enabling personalized experiences across various channels."
Content Guru,Bracknell,,United Kingdom,51-100 Employees,1993,"Content Guru offers a robust CPaaS solution through its storm® platform, which enables organizations to enhance customer engagement with tools for omni-channel communication, intelligent automation, and seamless integration with existing systems. Their developer ecosystem and service creation tools, like FLOW™ and CONDUCTOR™, empower businesses to design tailored customer experiences while ensuring security and compliance."
Fuzebox,San Francisco,,United States,501-1000 Employees,2006,"8x8 offers a comprehensive CPaaS solution that enables businesses to integrate SMS, voice, chat apps, and video APIs into a single platform. This approach streamlines customer communications and enhances the overall customer experience by providing multiple engagement options across various channels."
ValueFirst a Twilio company,Gurugram,,India,251-500 Employees,2003,"ValueFirst is a prominent CPaaS provider that offers a robust communication platform featuring cloud-based APIs for SMS, voice, email, and authentication. Their solutions enable businesses to automate workflows and enhance customer engagement through intelligent, multi-channel conversations."
CM.COM Netherlands,Breda,,Netherlands,251-500 Employees,1999,"CM.com is a global leader in cloud software for conversational commerce, offering a comprehensive communications platform that facilitates customer engagement through various channels like WhatsApp Business, SMS, and AI chatbots. Their solutions enhance customer experiences and streamline interactions, making them relevant to the CPaaS domain."
Birch Communications,Atlanta,,United States,1001-5000 Employees,1996,"Fusion Connect is a prominent provider of Contact Center as a Service (CCaaS) solutions, offering a scalable, cloud-based platform that enhances customer interactions through integrated voice and AI capabilities. Their services include omnichannel communication, real-time analytics, and seamless integration with platforms like Microsoft Teams, ensuring businesses can efficiently manage customer engagements and improve overall collaboration."
