name,city,state,country,employees,founded,description
Midas Safety,Canada,,Canada,1001-5000 Employees,1979,"Midas Safety is a leading supplier of high visibility clothing, utilizing innovative materials and advanced manufacturing techniques to provide customized solutions. Their commitment to quality and global distribution ensures that customers receive top-notch protective apparel."
ACI Workwear,India,,India,251-500 Employees,2010,"ACI Group specializes in high visibility clothing, offering a range of products designed to enhance safety and protection for various industries. Their commitment to quality and sustainability ensures that their workwear meets the high standards necessary for industrial environments."
"Summit Safety, LLC",Brooksville,,United States,11-50 Employees,2005,"HiVis Supply specializes in high visibility clothing, offering a wide range of products including shirts, jackets, and vests, ensuring that workers are prepared to be seen on the job site."
Safeaid Ltd,Havant,,United Kingdom,11-50 Employees,1976,"Safeaid specializes in high visibility clothing and safety equipment, particularly for the rail industry. With over 40 years of experience, they offer a wide range of hi-vis workwear and personal protective equipment (PPE) through their trusted in-house brand, Signal."
Protective Industrial Products,Town of Colonie,,United States,1001-5000 Employees,1984,"Protective Industrial Products, Inc. (PIP) specializes in high visibility clothing, offering a range of Hi-Vis garments designed for various applications where worker safety is crucial. Their product line includes options for all climates, ensuring visibility and protection in any light condition."
Stronghold Global Ltd,Swindon,,United Kingdom,11-50 Employees,2013,Stronghold Global emphasizes its commitment to safety by providing a wide range of compliant high visibility clothing. Their tailored solutions and dedicated team of safety specialists ensure that customers receive innovative and reliable products that enhance workforce protection.
Mallcom India Ltd.,Kolkata,,India,1001-5000 Employees,1983,"Mallcom (India) Ltd. offers a range of high visibility clothing, including safety jackets with reflectors, designed to enhance visibility and safety in various environments like construction sites and outdoor activities. Their commitment to quality and compliance ensures that their high-vis workwear meets the safety needs of diverse sectors."
Kubler,Plüderhausen,,Germany,251-500 Employees,1956,"KÜBLER Workwear offers high-visibility clothing designed for optimal safety in low-light conditions, featuring strong reflectors for maximum visibility. Their durable and functional workwear is perfect for professionals working under challenging circumstances."
Ballyclare,Stockport,,United Kingdom,101-250 Employees,,"Ballyclare specializes in designing, manufacturing, and distributing high-quality workwear, including high visibility clothing and protective gear for emergency services and the armed forces. Their commitment to trust, protection, and innovation ensures that their ranges meet the highest standards for safety and comfort."
Confecciones Este,Burgos,,Spain,51-100 Employees,,"Confecciones Este is a prominent national company that has adapted to market evolution and current regulations, offering a range of high-visibility clothing."
