name,city,state,country,employees,founded,description
Renewable Energy Systems,North Hertfordshire,,United Kingdom,1001-5000 Employees,1981,"The company is dedicated to transforming the way energy is produced and consumed, with a vision for a future where everyone has access to affordable zero carbon energy. They focus on developing and delivering clean energy projects, including solar and wind farms, and emphasize the positive benefits of renewable energy for all."
Enel Green Power,Andover,,United States,1001-5000 Employees,2008,"Enel Green Power manages 59.1 GW of renewable energy capacity, making it the world's largest renewable energy company. They are actively driving the energy transition with a comprehensive approach to renewables."
Eon UK PLC,Coventry,,United Kingdom,10001+ Employees,1989,"The company is a prominent provider of renewable energy solutions in the UK, focusing on electric power generation from sources like solar, wind, biogas, and biomass. Their commitment to supporting the zero net carbon emissions target by 2050 is evident through their diverse range of sustainable products and services, including solar panels and energy management solutions."
Energias de Portugal,Lisbon,,Portugal,10001+ Employees,1976,"The company is dedicated to renewable energy solutions, aiming for 100% green energy by 2030 and significantly investing in wind energy with a target of 20 GW of renewable capacity by 2025."
EDP Renewables,Madrid,,Spain,1001-5000 Employees,,"EDPR is a leader in the renewable energy sector, emphasizing sustainability and innovation. With a strong development portfolio and presence in 28 international markets, the company is committed to driving social progress through renewable energy initiatives."
Nextera Energy,United States,,United States,10001+ Employees,1985,"The company is a leading manufacturer and provider of clean energy solutions, focusing on wind and solar energy generation. It aims to achieve a carbon emissions-free power sector by 2045 through innovative technologies and significant investments in renewable energy infrastructure."
ENGIE UK & Ireland,London,,Canada,10001+ Employees,2009,"ENGIE is a leading player in renewable energy, with significant UK investments in wind, solar, and energy storage. The company aims to achieve 50GW of installed renewable capacity by 2025 and 80GW by 2030, actively supporting the transition to a low-carbon future."
RWE,Essen,,Germany,10001+ Employees,1898,"RWE is significantly expanding its focus on renewable energy, with a major portion of its core business already dedicated to green electricity generation. The company is committed to innovative solutions and technologies that support a sustainable energy future, aligning with its clear CO2 reduction goals."
EDF Renewable Energy,San Diego,,United States,501-1000 Employees,1987,"EDF Renewables, a key player in the renewable energy sector, specializes in developing, building, and operating various renewable power plants, including wind and solar projects. With over 35 years of experience, the company is dedicated to delivering sustainable energy solutions and optimizing the performance of renewable energy projects across North America."
Enel,Rome,,Italy,10001+ Employees,1962,"Enel is a leading player in renewable energy production, generating over 59 GW from renewable sources. The company is committed to innovation and sustainability, actively participating in initiatives that support the transition to clean energy."
