name,city,state,country,employees,founded,description
Southern Aluminum,Magnolia,,United States,51-100 Employees,1978,"Southern Aluminum specializes in high-quality aluminum furniture, proudly crafted in the USA with a commitment to sustainability, using at least 75% recycled aluminum in their products. Their extensive experience in manufacturing innovative furniture, including picnic tables and banquet tables, ensures durability and a long-lasting guarantee against defects."
Rodo Industries Inc,London,,Canada,11-50 Employees,1983,"Rodo Industries Inc. is a leading Canadian contract manufacturing company that offers a wide range of commercial furniture, including aluminum furniture. Their products cater to various venues, ensuring quality and versatility for different settings."
ALMAG Aluminum,Brampton,,Canada,251-500 Employees,1953,"ALMAG specializes in aluminum extrusions, which are integral to innovative office systems and furniture. They emphasize creativity and rapid market delivery, making them well-equipped to meet the evolving demands of this industry."
Albaddad Capital Group,United Arab Emirates,,United Arab Emirates,1001-5000 Employees,1971,"Albaddad Capital has extensive experience in manufacturing construction materials, including high-quality aluminum furniture such as shelves. Their innovative solutions cater to various sectors, making them a key player in the production of both temporary and permanent structures for events and more."
AluNile,Cairo,,Egypt,1001-5000 Employees,1999,"AluNile is a specialized manufacturer of architectural aluminum systems, offering a diverse range of products that may include aluminum furniture solutions. Their expertise in aluminum design and innovative coating techniques highlights their capability to create both standard and custom aluminum applications."
KLC Enterprise Limited,Foshan,,China,251-500 Employees,2012,"The company, KLC Enterprise Limited, is a professional manufacturer and supplier specializing in aluminum extrusion profiles, with over 25 years of experience in the field. They focus on various aluminum products, including aluminum furniture extrusion profiles."
Kaiser Aluminum Corporation,Tracy,,United States,1001-5000 Employees,1987,"Kaiser Aluminum Corporation is a prominent manufacturer of semi-fabricated aluminum products, offering a diverse range that includes extruded rods, bars, sheets, plates, and foils. Their expertise in advanced manufacturing techniques positions them to provide highly engineered aluminum solutions for various applications."
ScanCom International A/S,Korsør,,Denmark,1001-5000 Employees,1995,"ScanCom is a global manufacturer that offers a diverse range of outdoor furniture, including products made from powder-coated aluminum, highlighting their commitment to quality and sustainability. With over 25 years of experience, the company ensures rigorous standards in design and production, making it a key player in the aluminum furniture market."
Summer Classics,Pelham,,United States,251-500 Employees,1978,"The company emphasizes its commitment to durability and outdoor performance, making its products ideal for outdoor furniture. Their use of materials like resin wicker and teak ensures resistance to weather and pests, contributing to the longevity and aesthetic appeal of their offerings."
Profession Aluminium Company,Doha,,Qatar,501-1000 Employees,,"PROFESSION ALUMINIUM is a specialized manufacturer and supplier of aluminum systems, offering a diverse range of products such as aluminum doors and windows. With a focus on high-quality solutions, the company caters to clients in Syria, UAE, and Qatar, ensuring they meet advanced requirements and industry standards."
