name,city,state,country,employees,founded,description
Bike.Rent,London,,United Kingdom,1-10 Employees,2010,"The company has developed a platform that connects users directly with bike stores for rentals, ensuring a specific bike is reserved to meet individual needs. Their powerful real-time search feature allows for confident booking, making it easy to rent bikes effortlessly."
Bike Rental Barcelona,Barcelona,,Spain,1-10 Employees,2002,"Bike Rental Barcelona has been providing bicycle rental services since 2002, offering a variety of high-quality bikes at competitive prices."
List and Ride,Munich,,Germany,11-50 Employees,2017,"ListNRide offers convenient bike rentals at various cycling events across Europe, making it easy for participants to access the perfect bike for their adventures. With a wide selection, including road bikes, mountain bikes, and e-bikes, customers can effortlessly book their ideal ride online."
Nextbike,Leipzig,,Germany,251-500 Employees,2004,"nextbike is Germany's largest bike rental system, allowing users to easily rent bikes through the nextbike by TIER app. By scanning the QR code on the bike, the lock opens automatically, providing a convenient and user-friendly experience for cyclists."
VAS Cycling Boutique,Arganda del Rey,,Spain,11-50 Employees,2020,"The company specializes in cycling-related services, prominently offering a bike rental service, which includes high-quality models like the Cannondale Mavaro 5+."
Bike Your City,Brussels,,Belgium,11-50 Employees,2015,Bike Your City specializes in the retail and repair of bicycles and offers leasing and cargo bike transportation services.
Rapido,Bengaluru,,India,1001-5000 Employees,2015,"Rapido is India's largest bike taxi service, offering affordable and efficient intra-city commuting solutions through its app. With operations in over 100 cities and a strong focus on safety, Rapido enhances the biking experience for users."
MYBYK,Ahmedabad,,India,51-100 Employees,2014,"MYBYK is transforming urban mobility by offering a bike rental service that allows users to rent bicycles with unlimited free exchanges, promoting sustainability and accessibility. With partnerships ensuring bicycles are available at Metro stations and a variety of subscription options, MYBYK makes it easy to enjoy cycling in cities."
Blue-bike,Antwerp,,Belgium,11-50 Employees,2011,"Blue-bike is a prominent bike-sharing service in Belgium, providing over 2,500 rental bikes at more than 110 locations. With a user-friendly app and a commitment to sustainable mobility, Blue-bike ensures easy and convenient access to bikes for commuting and travel."
Click&Cycle,Paris,,France,1-10 Employees,2019,"The company offers a bike rental platform that enables individuals to easily rent bicycles for recreational use during weekends or vacations, connecting those with unused bikes to potential renters."
