name,city,state,country,employees,founded,description
Elmwood Reclaimed Timber,Peculiar,,United States,11-50 Employees,2000,"Elmwood Reclaimed Timber offers a diverse selection of reclaimed wood products, including flooring, paneling, countertops, and shelves. Their commitment to sustainability and quality ensures that clients receive exceptional wood options that enhance various design projects."
Centennial Woods LLC,Laramie,,United States,11-50 Employees,1999,"Centennial Woods offers a wide selection of 100% sustainable reclaimed wood materials, including wall planks, paneling, and siding, making it a key destination for both professionals and homeowners seeking high-quality reclaimed wood. As the world's largest supplier of reclaimed wood, the company emphasizes sustainability in its products."
Reclaimed DesignWorks,Denver,,United States,1-10 Employees,2007,"Reclaimed DesignWorks is a premier provider of custom reclaimed wood products, specializing in reclaimed barn wood, antique beams, and wide plank flooring. With over a decade of experience and a commitment to quality and customer satisfaction, they offer a diverse selection of authentic reclaimed materials for both residential and commercial projects."
Pioneer Millworks,United States,,United States,51-100 Employees,,"The company specializes in reclaimed wood products, highlighting their unique offerings that feature rich patinas and signs of previous life, which enhance their aesthetic appeal. They also emphasize their commitment to sustainability, providing FSC-Certified and PEFC-Certified wood flooring, paneling, and siding, making them a notable source for both reclaimed and sustainably harvested wood products."
Reclaimed Michigan,Waterford Township,,United States,1-10 Employees,2015,"The company is a prominent supplier of reclaimed wood in Michigan, specializing in materials sourced from historic structures. Their focus on repurposing salvaged lumber into unique custom furniture highlights their commitment to sustainability and preserving history."
The Reclaimed Wood Shop,Houston,,United States,1-10 Employees,2013,"The Reclaimed Wood Shop specializes in high-quality reclaimed wood products, including custom furniture and architectural elements crafted from recycled antique beams. Their commitment to innovative design and exceptional craftsmanship ensures that each unique item is built to last for generations."
Arhaus,Hudson,,United States,1001-5000 Employees,1986,"Arhaus specializes in sustainable furniture and home decor, highlighting their commitment to using reclaimed materials. Their Wood collection features handcrafted pieces, including a reclaimed wood bowl, showcasing their dedication to environmentally friendly practices."
Appalachian Woods LLC,Stuarts Draft,,United States,11-50 Employees,1997,"Appalachian Woods is a family-owned manufacturer that specializes in high-quality reclaimed wood products, including wide plank reclaimed wood flooring, antique wood, and custom farm tables made from reclaimed lumber. Their offerings cater to various applications, making them a go-to source for those interested in reclaimed wood."
WoodCo,San Antonio,,United States,11-50 Employees,2000,"The company, WoodCo, specializes in reclaimed wood flooring and offers a range of products including reclaimed wood beams and mantels. Their commitment to quality and sustainable sourcing ensures that customers receive expertly crafted, eco-friendly wood products for their designs."
Urban Woods,Los Angeles,,United States,11-50 Employees,2004,"Urban Woods is a manufacturer specializing in modern reclaimed wood furniture, emphasizing sustainable and eco-friendly designs. Their products highlight the natural beauty of old-growth timber while ensuring that no trees are harmed in the process."
