name,city,state,country,employees,founded,description
Pakmaya,Beşiktaş,,Turkey,501-1000 Employees,1923,"Pakmaya is a leading yeast producer with 50 years of experience, offering a wide range of fresh yeast products. Their extensive reach in over 130 countries highlights their expertise in the yeast industry."
Pinter,United Kingdom,,United Kingdom,51-100 Employees,,"The company highlights its innovative brewing system, the Pinter, which allows users to create fresh, sustainable beer at home. This process likely involves the use of yeast as a key ingredient in brewing."
Fermentis by Lesaffre,Marcq-en-Barœul,,France,5001-10000 Employees,2003,"Fermentis is a specialist in fermentation, providing innovative solutions for the production of beer, wine, and spirits. Their SpringFerm BR-2 product acts as a yeast fermentation aid, enhancing yeast growth and addressing sluggish or stuck fermentation."
Omega Yeast,Chicago,,United States,11-50 Employees,2013,"Omega Yeast specializes in producing fresh, high-quality, pitch-ready liquid yeast tailored for both professional and homebrewers. Their innovative strains and fermentation aids are designed to meet the evolving needs of modern brewing."
Lesaffre GULF FZE,Dubai,,United Arab Emirates,10001+ Employees,1853,"Lesaffre Gulf FZE specializes in providing high-quality ferments, including yeasts, that enhance bread-making through improved flavor and optimized processes. With over 165 years of expertise, Lesaffre is a key player in fermentation, offering innovative solutions for bakers."
Lesaffre North America,Milwaukee,,United States,251-500 Employees,,"Lesaffre North America is a key player in the baking industry, offering a wide range of yeast products, including conventional, certified organic, and non-GMO options. Their Red Star® All-Natural Active Dry Yeast is designed for consistent performance in clean label baking."
The Yeast Bay LLC,Portland,,United States,1-10 Employees,2013,"The Yeast Bay specializes in providing rare and unique strains of yeast and bacteria essential for fermentation, catering to the homebrewing and craft brewing communities. Their high-quality liquid cultures, including various types of Brewer's Yeast, enhance the sensory experience of brewed beverages, making them a valuable resource for innovative brewers."
Lesaffre UK & Ireland,Worcester,,United Kingdom,11-50 Employees,1980,"Lesaffre UK & Ireland specializes in providing a wide range of specialist yeasts, including their well-known DCL Craftbake Traditional + Yeast, which offers excellent flavor development and consistent performance. With a strong commitment to innovation and local manufacturing, Lesaffre supports bakers across the UK and Ireland with high-quality baking ingredients and expertise."
Kerry,Tralee Municipal District,,Ireland,10001+ Employees,1972,Kerry has officially launched a non-GMO yeast that serves as a natural solution for reducing acrylamide in food products. This innovative yeast aligns with Kerry's commitment to enhancing product quality and improving the global food landscape.
Lesaffre Egypt,Ash Sheikh Zayed,,Egypt,251-500 Employees,,"Lesaffre Egypt is a key player in the yeast industry, specializing in the production of baking yeasts and yeast extracts."
