name,city,state,country,employees,founded,description
Rich Products Corporation,Buffalo,,United States,10001+ Employees,1945,"Rich Products Corporation is a leading supplier of frozen pizza doughs, crusts, and flatbreads, offering a wide variety of specialty options, including gluten-free and plant-based products. Their customizable crusts provide an easy way to elevate your pizza offerings."
Goodfella's Pizza UK & IE,The Municipal District of Naas,,Ireland,1001-5000 Employees,1993,"Goodfella's offers a diverse selection of frozen pizzas, highlighting their passion for quality meals that bring joy to mealtime. Their range includes famous frozen pizzas and garlic bread, perfect for those seeking convenient and delicious meal options."
Nation Pizza and Foods,Schaumburg,,United States,501-1000 Employees,,"Nation Pizza and Foods specializes in producing a diverse range of high-quality pizzas, leveraging over 60 years of experience in the baking and prepared foods sector. Their dedicated Research and Development team ensures that they can transform innovative ideas into finished pizza products, maintaining a strong commitment to quality and customer satisfaction."
Nestlé Wagner GmbH,Nonnweiler,,Germany,1001-5000 Employees,1968,"The company is a leading European manufacturer of frozen pizzas, producing around 350 million products each year. They emphasize environmental sustainability in their production processes."
Frozen Specialties Inc.,Archbold,,United States,51-100 Employees,1969,"Frozen Specialties, Inc. is a leading supplier of private brand frozen pizza, known for its commitment to quality and innovation in healthier options, including organic and gluten-free varieties. With decades of manufacturing experience and a high-speed production facility, they produce a wide range of popular frozen pizzas that cater to various market segments."
Dr. Oetker South Africa,Johannesburg,,South Africa,501-1000 Employees,1891,"Dr. Oetker South Africa specializes in high-quality frozen food products, particularly frozen pizza, offering a diverse range of flavors and options. Their commitment to quality and safety is reflected in their carefully selected ingredients and adherence to stringent standards, making their pizza products a trusted choice for consumers."
Aliments Rustica,Montreal,,Canada,251-500 Employees,2000,"Rustica Foods specializes in authentic Italian pizza products, including frozen pizza options. They maintain high food safety standards and distribute their products throughout North America and beyond."
Dr. Oetker Professional (UK),Leeds,,United Kingdom,251-500 Employees,1891,"The company, Oetker Professional, emphasizes its commitment to quality and convenience in its frozen pizza offerings. Their deep dish Cheese & Tomato pizza cooks from frozen in just 2 minutes, making it an ideal solution for quick and delicious meal preparation."
Pizza Hut India,Gurugram,,India,10001+ Employees,1996,"Pizza Hut is a prominent player in the pizza industry, offering a diverse menu that includes signature pizzas and related food products. The company's commitment to delivering hot and fresh pizzas quickly enhances its reputation for quality dining experiences."
Margherita SRL,Fregona,,Italy,51-100 Employees,1991,"Margherita Srl is a leading manufacturer of premium frozen pizzas, known for its handmade products that use the finest raw materials and traditional techniques. With a focus on quality and food safety, the company offers a variety of frozen pizza options for both retail and food service markets."
