name,city,state,country,employees,founded,description
Poly,United States,,United States,5001-10000 Employees,2019,"The company offers a range of video conferencing solutions that enable seamless collaboration from anywhere, ensuring an efficient experience with every partner for video communication."
TrueConf,Stupino,,Russia,101-250 Employees,2003,"TrueConf is a leading provider of secure and user-friendly video conferencing technology, enabling seamless collaboration across devices and locations. With extensive features like UltraHD 4K support and integration with popular calendars, TrueConf enhances communication and productivity for organizations."
ClearVC,Salford,,United Kingdom,11-50 Employees,2010,ClearVC offers user-friendly technology and exceptional support to enhance your virtual meetings.
VideoMeet Conference & Webinar,Jaipur Municipal Corporation,,India,251-500 Employees,2018,"Videomeet is an Indian video conferencing platform that offers a seamless and secure environment for virtual meetings, making it ideal for online classes, webinars, and client interactions. With features like screen sharing and easy integration with existing software, Videomeet enhances the experience of hosting various types of online events."
Webstream Communication Pvt Ltd,-,,-,,,"Webstream Communications offers enterprise-class HD video conferencing services, providing end-to-end support for virtual and hybrid events. Their platform ensures high-quality experiences for participants, making it an ideal solution for businesses looking to enhance their communication through video conferencing."
BCN Nigeria,Nigeria,,Nigeria,11-50 Employees,2004,"The company specializes in providing unified communication solutions, which likely includes video conferencing services. With a strong focus on reliable connectivity and a team of experts dedicated to creating bespoke solutions, they are well-equipped to meet diverse telecommunication needs."
Elisa Videra Oy,Helsinki,,Finland,11-50 Employees,1996,"MVC Videra specializes in providing comprehensive video conferencing services, seamlessly integrating solutions from leading platforms like Microsoft, Pexip, Zoom, and Cisco. Their focus on planning, implementation, and management ensures a smooth and secure collaboration experience tailored to unique needs."
Perfect Video Conferencing,Emeryville,,United States,11-50 Employees,2009,"The company emphasizes its commitment to being a Value-Added Partner in unified communications, highlighting its strong partnerships with leading video conferencing providers. They offer innovative solutions, including Zoom, which ensures an intuitive and high-quality video conferencing experience."
Pexip,Bærum,,Norway,101-250 Employees,2012,"Pexip offers user-friendly, business-grade video conferencing solutions designed for government and enterprise customers. Their service provides simple, scalable video conferencing that connects users, devices, and meeting platforms, ensuring quality and security for live video from any location."
Clan Meeting,Bengaluru,,India,1-10 Employees,,"The company offers an affordable and secure video conferencing API that can be easily integrated into products, providing features like JWT authentication and custom branding. Their solution includes options for storing and sending video recordings to cloud providers, making it a trusted choice for businesses seeking to enhance their communication tools."
