name,city,state,country,employees,founded,description
Gravel,Special capital Region of Jakarta,,Indonesia,51-100 Employees,2019,"Gravel is a technology-driven service provider that specializes in supplying qualified construction workers for various projects, including building and renovation. They also offer repair and maintenance services for residential properties, emphasizing quality workmanship and an online platform for easy ordering of construction materials."
Hanson Aggregates,Irving,,United States,10001+ Employees,1968,"Heidelberg Materials emphasizes its commitment to providing sustainable construction solutions, highlighting its extensive experience as a leading supplier of cement, aggregates, and ready-mixed concrete. This positions the company as a key player in the sand and gravel industry, essential for meeting the growing demand for construction materials."
Ozinga,Mokena,,United States,1001-5000 Employees,1928,"Ozinga is a leading supplier of gravel, offering a variety of options for commercial, residential, and landscaping projects. With a focus on quality and efficient delivery, they provide locally sourced gravel suitable for driveways, drainage, and more."
GRS Group,-,,-,,,"The company, GRS, is a leading independent supplier of construction materials, including a wide range of decorative gravel and chippings. They emphasize sustainable production and delivery of low-carbon aggregates, making them a key player in the market for environmentally friendly gravel options."
BMS | Water Treatment Filtration Media | Silica Sand Gravel Anthracite,Jeddah,,Saudi Arabia,51-100 Employees,1995,"BMS FACTORIES specializes in non-metallic mineral mining, including high-quality gravel, which is highlighted as a natural filter media. With over 25 years of experience, the company emphasizes its commitment to quality control and customer service, ensuring that their gravel and other products meet strict standards."
Gravillera Albania S.A,Une,,Colombia,51-100 Employees,,"Gravillera Albania is a leading Colombian manufacturer that produces essential building materials, including aggregates like gravel, for the construction industry. With over 35 years of experience, the company ensures efficient material extraction and processing, serving both public and private clients."
GravelMaster Ltd,Doncaster,,United Kingdom,11-50 Employees,,"Gravelmaster is a leading supplier of decorative aggregates and landscaping products in the UK, offering a wide range of high-quality gravels and sands that are naturally sourced within the UK and Europe. With over 31 years of experience, they provide reliable and competitively priced products, making them an excellent choice for any landscaping project."
Gravelart,Zedelgem,,Belgium,11-50 Employees,2007,"Gravelart specializes in distributing various types of gravel and stones, making it a valuable resource for landscaping and construction projects. Their extensive product range includes ornamental gravel, stabilization materials, and professional pond supplies."
Mulzer Crushed Stone,Tell City,,United States,501-1000 Employees,1935,"Mulzer Crushed Stone, Inc. specializes in providing a variety of aggregate materials, including Dark Concrete Gravel, which is available throughout Southern Indiana and the Ohio River Valley. Their commitment to delivering high-quality crushed limestone and custom solutions makes them a key supplier for various construction projects."
Vulcan Materials Company,Birmingham,,United States,10001+ Employees,1909,"Birmingham Slag Company specializes in construction materials, particularly aggregates like gravel. The company is committed to providing top-quality construction materials and services, leveraging innovative technologies to enhance production."
