name,city,state,country,employees,founded,description
Epic Foods (Pty) Ltd,Johannesburg,,South Africa,251-500 Employees,1997,"Epic Foods (Pty) Ltd offers a variety of margarine products, including Canola Margarine in different sizes, highlighting their commitment to quality in the food industry."
Upfield,Amsterdam,,Netherlands,1001-5000 Employees,2018,"Upfield is a leading manufacturer of plant-based foods, including plant-based butters and spreads, with a strong commitment to health and sustainability. Their iconic brands, such as FLORA and BECEL, highlight their expertise in creating delicious and nutritious plant-based products."
Unilever Bestfoods North America,Englewood Cliffs,,United States,10001+ Employees,1872,"The company, Unilever, is a manufacturer of various food items, including frozen specialties and dairy products. Unilever has developed an innovative ingredient, ice structuring protein, which allows for the creation of healthier ice creams and frozen desserts that are lower in fat and sugar while incorporating more fruit."
Marsavco S.A.,Pointe-Noire,,Congo-Brazzaville,501-1000 Employees,1922,"Marsavco is a prominent manufacturer of Fast Moving Consumer Goods in Central Africa, offering a variety of products, including margarine. Their commitment to high-quality production ensures that their margarine meets strict quality standards."
B&G Foods,Parsippany-Troy Hills,,United States,501-1000 Employees,1996,"B&G Foods, Inc. offers Canoleo®, a margarine made with canola oil as its first ingredient, providing a dairy-free alternative to butter that is suitable for cooking, baking, and spreading."
Med Oil Company,Borj Cédria,Tunisia,Tunisia,251-500 Employees,1987,"Med Oil Company is a prominent manufacturer in Tunisia, specializing in the production of margarine under its historical brand ""JADIDA."" Their margarine offerings include various types such as table margarine, professional margarine, and a lighter version, all designed for cooking and baking, and enriched with vitamins and Omega-3 fatty acids."
Arla Foods,Sollentuna kommun,,Sweden,10001+ Employees,2000,"Arla Foods has successfully launched Lurpak Lighter Spreadable, a low-fat margarine that contains 25% less fat than the original, catering to the growing consumer demand for healthier food options. With strong initial sales and a comprehensive marketing campaign, Lurpak Lighter Spreadable is poised to become a leading product in the UK market."
La Fabril,Montecristi,,Ecuador,1001-5000 Employees,1968,"La Fabril is an Ecuadorian manufacturer that produces a variety of goods, including margarine under the Marva brand. Their margarine products are designed for baking and offer excellent emulsification, flavor, and preservation, making them suitable for cakes, cookies, and other pastries."
Gloria,Peru,,Peru,1001-5000 Employees,1941,"Gloria is a prominent player in the Peruvian dairy market, specializing in a variety of food and beverage products, with a strong focus on dairy items."
Meggle,Wasserburg am Inn,,Germany,1001-5000 Employees,1892,"MEGGLE offers a versatile clarified butter product, known as Butterschmalz, which is ideal for frying, cooking, and baking. This product is lactose-free and contains no preservatives, making it suitable for those with lactose intolerance who still desire a rich butter flavor."
