name,city,state,country,employees,founded,description
Century Enka Limited,Pune,,India,1001-5000 Employees,1965,"Century Enka is the largest producer of nylon filament yarn (NFY) in India, highlighting its expertise in this material."
YKK,Marietta,,United States,1001-5000 Employees,1934,"YKK specializes in fastening products and offers a range of nylon fabrics, including Nylon N0088-3/4"". Their commitment to quality and sustainability, combined with a vertically integrated system, enhances their ability to provide customized solutions for the textile industry."
General Group,Surat,,India,1001-5000 Employees,1980,"General Group is a prominent player in the Indian Polyester market, and it offers a wide range of fabrics, including all types of nylon fabrics. This highlights the company's expertise and extensive product line in the textile industry."
Cerex Advanced Fabrics,United States,,United States,51-100 Employees,1965,"CEREX has over 50 years of experience in providing innovative nylon 6,6 products, highlighting their expertise in advanced fabrics that outperform other materials. Their Cerex Advanced Nylon Fabrics, made from durable PA66, are used globally in demanding markets, ensuring high quality and exceptional performance."
Aquafil,Arco,,Italy,1001-5000 Employees,1965,"Aquafil Group specializes in the production of nylon fibers, including Nylon 6 and Nylon 6.6, and is well-known for its ECONYL® nylon, which is made through a sustainable recycling process. The company's focus on innovation and quality extends to its manufacturing of textile yarns specifically designed for garments, including those used in underwear, hosiery, and sportswear."
Yiwu Yitai Textile Co. Ltd.,Jinhua,,China,11-50 Employees,1997,"The company specializes in manufacturing a diverse range of nylon fabrics, including various specifications and fabric types such as nylon oxford, ripstop, and cordura. Their products are suitable for applications in bags, shoes, industrial uses, and more, highlighting their commitment to quality and versatility."
Sky Industries Ltd,Mumbai,,India,251-500 Employees,1994,"Sky Industries Ltd is a prominent manufacturer and exporter of hook and loop fasteners, which includes a product range featuring a nylon and polyester mix. Their extensive experience and global reach highlight their expertise in providing innovative fastening solutions."
Shanghai Zhongyan Industrial CO.LTD.,Huangpu District,,China,11-50 Employees,2009,"The company emphasizes its commitment to fabric quality, particularly highlighting their expertise in technical protective fabrics and specialized testing for nylon materials, such as their 70D ripstop nylon taffeta."
CHAINLON®,Taichung,,Taiwan,,,"Chainlon® is a leading brand in the Nylon 6 and Nylon 66 industry, emphasizing innovative, value-added products and a low carbon manufacturing process."
Fabricato,Medellín,,Colombia,1001-5000 Employees,1920,"The company, a Colombian manufacturer, offers a diverse range of textiles, including high-quality fabrics suitable for various garments and accessories, particularly in the fashion and jeanswear markets."
