name,city,state,country,employees,founded,description
Nova Property Fund Management AG,Pfäffikon,,Switzerland,11-50 Employees,2018,"The company is a FINMA-approved, owner-managed Swiss fund management firm based in Zurich, offering a comprehensive portfolio for real estate management, which directly relates to asset management."
Centris Capital AG,Vienna,,Austria,1-10 Employees,2008,"Centris Capital, an independent asset manager established in 2008 and predominantly owned by its management, specializes in asset management."
AssetWorks,United States,,United States,5001-10000 Employees,1983,"AssetWorks specializes in developing integrated software and hardware solutions tailored for asset-intensive organizations, enhancing efficiency and data transparency while reducing costs. Their extensive experience and commitment to innovation make them a key player in fleet and asset management, with a focus on improving maintenance practices and operational efficiency for diverse clients, including government and private sectors."
ATP CAPITAL,London,,United Kingdom,1-10 Employees,2021,"ATP Capital specializes in providing practical and affordable support for real estate investors in the UK, emphasizing various asset classes and offering investment opportunities and guidance."
Aramis,Milan,,Italy,1-10 Employees,2012,"ARAMIS srl specializes in developing innovative solutions for asset management through advanced methodologies and algorithms. Their expertise in statistical analysis, artificial intelligence, and machine learning enables them to address unique industrial challenges and optimize decision-making processes related to reliability and maintenance."
Asset Living,Houston,,United States,1001-5000 Employees,1986,"Asset Living is a specialized real estate management firm that offers comprehensive asset management services. With a substantial portfolio and over 37 years of experience, the company demonstrates its expertise in managing various property types, including affordable and student housing."
MA Services Group,Melbourne,,Australia,1001-5000 Employees,2009,"MA Services Group specializes in Asset Management by offering integrated facilities services that combine security, cleaning, and customer service. Their commitment to high-performance, customer-focused solutions ensures clients receive tailored and efficient asset management strategies."
Mega Asset Management Co. Ltd.,Khan Daun Penh,,Cambodia,5001-10000 Employees,2008,"Mega Asset Management Co., Ltd is a prominent consultancy in Cambodia that specializes in asset management within the real estate sector. The company offers comprehensive services including property management and construction management, focusing on a diverse range of properties such as commercial and residential buildings, hotels, and public infrastructure."
J.P. Morgan Asset Management,New York,,United States,10001+ Employees,1984,"J.P. Morgan Asset Management is a prominent provider of asset management services, offering innovative investment strategies and expert insights to a diverse clientele. The firm manages $2.5 trillion in assets and emphasizes sustainable investment through its range of ESG-focused strategies."
XP Asset Management,São Paulo,,Brazil,51-100 Employees,1998,"XP Asset Management is a prominent asset management firm with over R$120 billion in assets under management, offering a diverse range of investment options for both institutional and individual investors. The company's commitment to consistent returns and risk management is backed by a skilled team, making it a key player in the asset management sector."
