name,city,state,country,employees,founded,description
Carbon Activated,Compton,,United States,51-100 Employees,1993,"Carbon Activated Corporation is a leading provider of activated carbon, offering a wide range of products that meet NSF-61 certification and AWWA standards. With over 15 years of manufacturing expertise and a global network of plants, the company is well-equipped to deliver high-quality activated carbon solutions efficiently and cost-effectively."
Calgon Carbon Corporation,Pittsburgh,,United States,1001-5000 Employees,1942,"Calgon Carbon is a leading expert in the activated carbon industry, with over 80 years of experience in producing advanced purification systems for various applications, including air and water treatment, industrial processes, and pollution control. The company's innovative carbon technologies and extensive patent portfolio highlight its commitment to developing effective solutions for a wide range of market needs."
Donau Carbon GmbH,Frankfurt,,Germany,251-500 Employees,,"The company offers high-quality activated carbons based on coconut, featuring high hardness and significant micropore volume. Their innovative solutions and mobile adsorbers enhance the efficiency of activated carbon replacement, contributing to environmental protection."
Chemviron Carbon SA,Seneffe,,Belgium,101-250 Employees,1940,"Chemviron is a leading global manufacturer and supplier of activated carbons, specializing in various liquid and vapor phase applications. The company operates the world's largest activated carbon reactivation facility, emphasizing its commitment to recycling and purifying carbon materials."
Donau Carbon Philippines Corp.,El Salvador,,Philippines,51-100 Employees,2011,"The company specializes in producing high-quality powdered activated carbon in Dunnellon, FL, offering innovative solutions that benefit its customers."
CPL Activated Carbons,Wigan,,United Kingdom,11-50 Employees,1990,"CPL Activated Carbons, a subsidiary of CPL Industries, is a leading international manufacturer and supplier of activated carbon, specializing in purification applications. With a strong focus on engineering and R&D, they provide innovative solutions for various environmental and industrial needs."
Kajah Activated Carbon,Madurai,,India,51-100 Employees,2008,"Kajah Activated Carbon, part of the Rajah Group, emphasizes quality control and consistency in their products. Their newly established R&D Centre and Lab Facility highlights their commitment to high-quality activated carbon, with thorough testing for various parameters."
CG Carbon India Private Limited,India,,India,501-1000 Employees,,"CG Carbon is a leading manufacturer and exporter of coconut shell activated carbon, offering a wide range of high-quality activated carbon products, including granular, powder, and pellet forms. With a commitment to product excellence and environmental responsibility, CG Carbon aims to provide top-notch products and timely delivery to its customers."
Corodex Industries,Abu Dhabi,,United Arab Emirates,1001-5000 Employees,1974,"Corodex Industries offers a range of water purification solutions, including activated carbon filters, which are essential for effective wastewater treatment and odor control. With over 40 years of experience, the company specializes in engineering and manufacturing systems that enhance water quality."
Zhulin Carbon,Zhengzhou,,China,51-100 Employees,2001,"Zhulincarbon is a prominent manufacturer and supplier of activated carbon in China, offering a wide range of products including granular activated carbon from coal and coconut shells, which are essential for applications such as water treatment and gold recovery."
