name,city,state,country,employees,founded,description
TMC Transportation,Des Moines,,United States,1001-5000 Employees,1972,"TMC Transportation is a leading flatbed carrier in the trucking industry, recognized for its integrity, innovation, and highly trained drivers. With a commitment to superior safety and quality customer service, TMC aims to set the standard in flatbed transportation."
Landstar System Inc,Jacksonville,,United States,1001-5000 Employees,1992,"Landstar specializes in safe and reliable truck transportation services, offering customized shipping solutions through a vast network of independent agents and owner-operators. Their expertise in general freight trucking ensures they can effectively address diverse transportation challenges."
"Milgram & Co., Ltd.",Montreal,,Canada,251-500 Employees,1951,The company offers truck transportation services as part of its comprehensive supply chain solutions available at www.chrobinson.ca.
Q-Line Trucking Ltd,Saskatoon,,Canada,1001-5000 Employees,1994,"Q-Line Trucking is dedicated to providing specialized transportation solutions for major projects, emphasizing customer relationships and high ethical standards. Their commitment to honesty, integrity, and teamwork underpins their operations, ensuring the safety and security of their services."
CPC Logistics Inc,Allentown,,United States,1001-5000 Employees,1973,"CPC Logistics specializes in providing quality drivers and customized transportation logistics solutions, ensuring timely product delivery even amid driver shortages and supply chain changes. With over 50 years of experience, they serve various sectors, including private truck fleets and third-party logistics."
U.S. Xpress Enterprises,Chattanooga,,United States,5001-10000 Employees,1985,"Xpress is a prominent player in the truck transportation industry, offering specialized services in general freight trucking and logistics. With nearly 40 years of experience and a robust asset-based OTR fleet, Xpress provides a range of shipping solutions, including dedicated services and a proprietary platform that connects shippers with a comprehensive fleet."
Transplace,Frisco,,United States,1001-5000 Employees,2000,"Uber Freight specializes in logistics and supply chain management, providing innovative transportation solutions that enhance supply chain performance. With a technology-enabled platform, it offers services like managed transportation and strategic capacity, making it a key player in the trucking industry."
Marten,Mondovi,,United States,1001-5000 Employees,1946,"Marten Transport, Ltd. is a prominent player in the trucking industry, specializing in temperature-controlled truckload and intermodal transportation services across North America. With a substantial fleet and a focus on reliable, cost-effective solutions for time-sensitive shipments, the company leverages advanced information systems to enhance supply chain productivity."
Better Trucks,Downers Grove,,United States,251-500 Employees,2019,"Better Trucks is a regional last-mile parcel carrier that emphasizes reliability and fast residential deliveries, making it a key player in the logistics sector for online sellers and e-commerce."
"R Carrier, Inc.",Wilmington,,United States,10001+ Employees,1965,"R+L Carriers specializes in global freight transportation, offering a wide range of trucking services including LTL and truckload shipping. With a focus on safety and customer satisfaction, the company also provides expedited shipping and intermodal transportation."
