name,city,state,country,employees,founded,description
Mac-Nutrition,Charnwood,,United Kingdom,1-10 Employees,2007,"Mac-Nutrition is a leading consultancy for nutrition advice, specializing in areas such as sports performance, weight loss, and overall health. With a strong reputation and a commitment to challenging unscientific ideas, they provide expert guidance and innovative strategies to enhance athletic performance and improve health outcomes."
Nutrition Inc.,Irwin,,United States,1001-5000 Employees,1975,"The Nutrition Group emphasizes its commitment to providing quality name brand products and custom solutions, guided by dietitians, which is essential for effective sports nutrition. They focus on strong client relationships and budget-conscious approaches to meet unique dietary challenges."
Nutrition Supplies & Services,Cork,,Ireland,11-50 Employees,1977,"The company is a market leader in Ireland, specializing in the development and supply of customized precision premixes, which are essential for creating high-quality sports nutrition products. Their mission emphasizes co-creating value with customers to ensure the highest safety and quality standards in nutrition supplies."
Nutritious Lifestyles Inc.,Orlando,,United States,51-100 Employees,1986,"Nutritious Lifestyles Inc. specializes in providing nutrition and food service consulting, which may include aspects relevant to sports nutrition. Their experienced team collaborates with various healthcare facilities to enhance nutritional outcomes and customer satisfaction."
Nutrifice,Indore,,India,1-10 Employees,2022,"Nutrifice offers a dedicated Sports Nutrition Program, which emphasizes planning and preparation, along with access to vitamins and supplements, highlighting their expertise in personalized wellness solutions for enhancing athletic performance."
Nutrition Care Systems Inc.,Chicago,,United States,11-50 Employees,1993,"The company, Nutrition Care Systems, has announced its closure, which may impact its role as a nutrition partner."
Weider Global Nutrition,Gilbert,,United States,51-100 Employees,1936,"WEIDER is a prominent Active Nutrition company with over 70 years of experience, dedicated to providing high-quality dietary supplements that support a healthier and stronger lifestyle. Their commitment to innovation and efficacy has made the Weider brand synonymous with health and fitness worldwide, making it a trusted choice for sports nutrition."
UCSF Nutrition and Food Services,San Francisco,,United States,10001+ Employees,,UCSF Nutrition & Food Services offers a comprehensive range of nutritious dining options across its campuses and provides individual nutrition counseling through registered dietitians. This focus on quality nutrition and specialized services highlights their commitment to promoting healthy eating habits.
Nutrition that Works LLC,Raleigh,,United States,251-500 Employees,2001,"Nutrition that Works, LLC offers specialized services from Registered Dietitians, emphasizing personalized nutrition strategies that could benefit sports nutrition programs. With over 15 years of experience, they collaborate with healthcare facilities to tailor nutrition solutions to meet specific needs."
AIDP,-,,-,,,"AIDP specializes in providing clinically researched ingredients that can enhance sports nutrition, focusing on benefits like immune health and cognitive wellness. With over 25 years of experience, AIDP identifies trends and offers formulation suggestions to help customers create effective sports nutrition products."
