rating_communication,work_duration,rating_timeliness,rating_value,agency_id,verified,title,body,rating_quality,approved,agency_response,agency_response_date,user_id,company_name,rating_overall,role_hired,id,created_date,updated_date,created_by_id,created_by,is_sample
"4","9 months","5","5","699178c906e94195c109ab1c","true","Exceptional finance recruitment","Charlotte Finance Recruiters found us top financial analysts. Their banking industry expertise really shows.","5","true","","","699175bf29cd26bbd2653c05","Investment Bank","5","Financial Analyst","69918421364355d765c0fcf9","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"4","6 months","4","5","699178c906e94195c109ab1d","false","Good hospitality staffing","Tampa Hospitality helped staff our resort for peak season. Reliable workers and fair pricing.","4","true","","","699175bf29cd26bbd2653c05","Beach Resort","4","Hotel Staff","69918421364355d765c0fcfa","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"5","8 months","5","4","699178c906e94195c109ab1e","true","Top legal recruitment","Richmond Legal Staffing placed excellent paralegals. Their understanding of legal requirements is impressive.","5","true","","","699175bf29cd26bbd2653c05","Law Firm","5","Paralegal","69918421364355d765c0fcfb","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"4","1 year","4","4","699178c906e94195c109ab1f","true","Great entertainment staffing","Las Vegas Entertainment found us talented production staff for our shows. Industry knowledge is solid.","5","true","","","699175bf29cd26bbd2653c05","Casino Resort","4","Production Coordinator","69918421364355d765c0fcfc","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"5","18 months","5","4","699178ca06e94195c109ab21","true","Excellent offshore development","Kochi IT Services provided skilled developers at great rates. Communication is smooth despite time zone differences.","5","true","","","699175bf29cd26bbd2653c05","SaaS Startup","5","Full Stack Developer","69918421364355d765c0fcfd","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"4","2 years","5","5","699178ca06e94195c109ab24","true","Top healthcare recruitment","Hamilton Healthcare consistently delivers quality nurses. They're our preferred partner for healthcare staffing.","5","true","","","699175bf29cd26bbd2653c05","Community Hospital","5","Registered Nurse","69918421364355d765c0fcfe","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"4","10 months","5","4","699178ca06e94195c109ab27","true","Reliable supply chain staffing","Columbus Supply Chain placed experienced logistics coordinators. All hires have been strong performers.","5","true","","","699175bf29cd26bbd2653c05","Distribution Co","4","Logistics Coordinator","69918421364355d765c0fcff","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"5","1 year","5","4","699178ca06e94195c109ab28","true","Outstanding healthcare staffing","San Antonio Healthcare Pros filled urgent ER nurse positions quickly. Truly saved us during staffing crisis.","5","true","","","699175bf29cd26bbd2653c05","Trauma Center","5","ER Nurse","69918421364355d765c0fd00","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"4","8 months","4","5","699178ca06e94195c109ab29","true","Good manufacturing staffing","Indianapolis Manufacturing provided reliable production workers. Competitive pricing and good service.","4","true","","","699175bf29cd26bbd2653c05","Pharma Manufacturer","4","Production Worker","69918421364355d765c0fd01","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"5","1 year","5","4","699178ca06e94195c109ab2a","true","Exceptional automotive recruitment","Detroit Automotive placed top automotive engineers. Their deep industry connections in the Motor City are unmatched.","5","true","","","699175bf29cd26bbd2653c05","OEM Supplier","5","Automotive Engineer","69918421364355d765c0fd02","2026-02-15T08:30:25.605000","2026-02-15T08:30:25.605000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
