name,city,state,country,employees,founded,description
Sonoscape Medical,China,,China,1001-5000 Employees,2002,"SonoScape specializes in innovative endoscopy equipment, offering a range of high-definition endoscopy systems designed to enhance medical imaging and improve patient outcomes. The company's commitment to advancing medical technology is evident in its continuous development of efficient and accurate diagnostic solutions for healthcare providers worldwide."
Endoscopy Image,Key Biscayne,,United States,1-10 Employees,,"Endoscopy Image, Inc. specializes in distributing reconditioned endoscopy equipment, including gastroscopes and colonoscopes from top manufacturers like Pentax, Fujinon, and Olympus. With an extensive inventory and a focus on medical equipment, they serve hospitals, doctors, and surgery centers, making them a key supplier in the endoscopy market."
Endoscopy Development Co LLC,Maryland Heights,,United States,51-100 Employees,2003,"The Endoscopy Development Company (EDC) specializes in manufacturing high-quality flexible and rigid endoscopy replacement parts, addressing the industry's need for precision components. Their commitment to quality-driven manufacturing ensures that they provide durable and reliable endoscopy repair parts for various medical applications."
EndoMed Systems GmbH,Ravensburg,,Germany,11-50 Employees,2010,"EndoMed Systems is a specialized manufacturer of advanced endoscopic medical devices, offering a comprehensive range of flexible and rigid endoscopy systems for various minimally invasive procedures. With over 20 years of experience, the company provides reliable solutions for gastroscopy, colonoscopy, and other endoscopic applications, catering to the needs of healthcare professionals worldwide."
Materials Management Microsystems,Mequon,,United States,101-250 Employees,1991,"STERIS offers a comprehensive range of endoscopy equipment designed to enhance patient care, including innovative devices for spray cryotherapy, electrosurgery, and CO2 insufflation. Their endoscopy portfolio also features irrigation pumps that provide consistent flow rates during procedures, ensuring effective and efficient treatment options for clinicians."
Endoscopy Superstore,Los Angeles,,United States,11-50 Employees,,"Endoscopy Superstore® specializes in manufacturing and distributing a comprehensive range of high-quality endoscopy products, including various endoscopes and instruments tailored for multiple medical specialties such as Urology, Laparoscopy, Arthroscopy, Hysteroscopy, and General Surgery. Their extensive inventory and commitment to quality ensure that medical facilities have access to essential tools and innovative solutions for endoscopic procedures."
ProEndoscopy,Sunrise,,United States,1-10 Employees,2007,"ProEndoscopy specializes in the repair of both rigid and flexible endoscopes, along with complete endoscopic systems, highlighting their commitment to high-quality service and reliability for medical devices."
idsMED,Sha Tin District,,China,501-1000 Employees,2011,"idsMED Group specializes in the distribution of medical equipment, including endoscopy solutions, which enable doctors to inspect and perform therapeutic procedures on internal organs without major surgery. Their offerings include advanced endoscopes that capture images of abnormalities, aiding in the diagnosis of various conditions."
Diagmed Healthcare Ltd,Thirsk,,United Kingdom,51-100 Employees,1985,"Diagmed Healthcare, now part of STERIS, is a prominent manufacturer and distributor of gastrointestinal endoscopy products, offering a wide range of therapeutic devices and accessories for procedures like colonoscopy and polypectomy. Their innovative products, such as the CoinTip snare and EverLift submucosal lifting agent, are designed to enhance patient care and support infection prevention in endoscopic procedures."
aeendoscopy,Miami,,United States,1-10 Employees,2002,"The company specializes in manufacturing and distributing a wide range of endoscopy equipment, including both rigid and flexible systems, as well as fiber optics and video systems. They offer new, used, and reconditioned endoscopy devices and accessories from prominent brands like Olympus, Karl Storz, and Stryker, catering to various medical specialties."
