name,city,state,country,employees,founded,description
PHYTORESTORE BRASIL,São Paulo,,Brazil,11-50 Employees,2011,"Phytorestore is a leading company in landscape restoration that specializes in phytoremediation technology, harnessing the natural abilities of plants to address water pollution. Their projects contribute to climate change mitigation and ecosystem recovery, making them key players in environmental services."
Veolia Energy,Dongcheng District,,China,1001-5000 Employees,,"Veolia is dedicated to sustainable environmental solutions, including soil remediation, which aligns with the principles of phytoremediation by transforming waste into valuable resources and promoting a circular economy."
Earthmaster Environmental Strategies Inc.,Calgary,,Canada,11-50 Employees,,"Earthmaster Environmental Strategies Inc. specializes in innovative solutions for complex environmental challenges, including phytoremediation, which is a key focus of their expertise."
Intrinsyx Environmental,Sunnyvale,,United States,1-10 Employees,,"Intrinsyx Environmental specializes in sustainable phytoremediation solutions that transform contaminated environments into thriving ecosystems. They utilize advanced endophyte technology and resilient tree cultivars to effectively remediate polluted soil and water, offering a cost-effective alternative to conventional methods."
TRC Companies,Lowell,,United States,1001-5000 Employees,1961,"TRC is a prominent service provider with expertise in environmental remediation, making it well-equipped to address challenges related to phytoremediation. Their innovative solutions and comprehensive services support clients in managing environmental risks and cleaning up contaminated sites."
Clean Harbors,Norwell,,United States,10001+ Employees,1980,"Clean Harbors is a prominent environmental service provider that specializes in hazardous waste management and environmental cleanup services. Their expertise in remediation aligns with the principles of phytoremediation, making them a key player in the field of environmental restoration."
Liquid Trees,San Francisco,,United States,51-100 Employees,2022,"Liquid Trees is focused on innovative natural climate solutions, specifically using microalgae-based technology for phytoremediation, which effectively removes heavy metals and pollutants from river water. Their approach not only captures pollutants like fertilizers and microplastics but also enhances carbon dioxide sequestration, making them a key player in bioremediation and ecosystem restoration efforts."
MuniRem Environmental LLC,Duluth,,United States,1-10 Employees,2014,"MuniRem Environmental employs phytoremediation techniques, utilizing green plants to effectively clean air, soil, and water. Their approach enhances rhizodegradation, allowing for rapid remediation of degradable compounds."
alchemia-nova,Vienna,,Austria,11-50 Employees,2000,"The company, alchemia-nova, specializes in phytoremediation and phytomining, leveraging 20 years of experience in nature-based solutions to effectively remediate soils and recover metals from various sources. Their innovative approach and commitment to circular economy principles position them as experts in phytotechnology."
SCS Engineers,Long Beach,,United States,501-1000 Employees,1970,"SCS Engineers specializes in environmental solutions, including soil and land remediation, which directly relates to phytoremediation. Their expertise in managing contaminated sites highlights their capability to address environmental challenges effectively."
