name,city,state,country,employees,founded,description
Cambridge Quantum Computing,Cambridge,,United Kingdom,101-250 Employees,2014,"Quantinuum is dedicated to accelerating quantum computing by integrating advanced software with high-fidelity hardware. Their mission is to leverage quantum physics to drive breakthroughs in various fields such as drug discovery, healthcare, and climate change."
D-Wave Systems,Burnaby,,Canada,101-250 Employees,1999,"D-Wave Systems highlights the practical applications of quantum computing across various industries, such as logistics, drug discovery, and supply chain management. This showcases the growing recognition of quantum computing's commercial potential and its transition from theoretical concepts to real-world solutions."
Rigetti Computing,Berkeley,,United States,101-250 Employees,2013,"Rigetti Computing is focused on practical quantum computing, developing innovative techniques to enhance quantum control and reduce decoherence. Their quantum systems are accessible via the cloud, addressing the need for powerful computing solutions for complex problems."
Quantum Machines,Tel-Aviv,,Israel,11-50 Employees,2018,"The company, Quantum Machines, is dedicated to advancing quantum computing through its innovative Quantum Orchestration platform, which facilitates significant breakthroughs and enhances the development of large-scale quantum systems. Their focus on optimal quantum control and state-of-the-art cryogenic electronics positions them as leaders in the practical realization of quantum computing."
Horizon Quantum Computing,Singapore,,Singapore,11-50 Employees,2018,"The company is focused on automating the construction of quantum algorithms from classical code, making it easier for developers to program quantum computers. Their goal is to simplify quantum programming, enabling a wider range of professionals to leverage quantum computing's potential."
Quantum Computing,Petaling Jaya,,Malaysia,11-50 Employees,2019,"Quantum Computing, established in 2019, focuses on transforming Industrial Control Systems to Industry 4.0 platforms through innovative, cloud-based solutions that leverage artificial intelligence and machine learning. By 2023, the company plans to introduce applications powered by quantum computer processors and 5G, aiming to enhance production capabilities and optimize manufacturing processes across various industries."
Quantuum Logix,Emek Hefer Regional Council,,Israel,11-50 Employees,2017,"Quantuum Logix is a leading provider of Quantum Computing technologies and services, offering scalable solutions for businesses of all sizes. Their innovative approach and recognition by market leaders highlight their commitment to advancing the industry."
1QBit,Vancouver,,Canada,11-50 Employees,2012,"1QBit focuses on the intersection of quantum computing and artificial intelligence, emphasizing the importance of co-developing hardware and software to address complex, high-value problems across various industries. Their expertise in optimization, simulation, and machine learning highlights their commitment to advancing computational solutions through quantum technologies."
QMware AG,St. Gallen,,Switzerland,11-50 Employees,2019,"QMware is focused on making quantum computing accessible and impactful for businesses, offering a unique hybrid quantum infrastructure through QMware Cloud. Their platform enables collaboration among software developers, quantum hardware providers, and industry customers to develop and deploy quantum applications effectively."
Atom Computing,Berkeley,,United States,11-50 Employees,2018,"Atom Computing is focused on quantum computing, emphasizing its potential for scalability and innovation."
