name,city,state,country,employees,founded,description
Universal Medical Resources,United States,,United States,101-250 Employees,1996,"Universal is a specialized service provider in nuclear imaging solutions, offering a variety of services including the supply and maintenance of SPECT nuclear imaging systems. Their expertise in nuclear medicine plays a crucial role in enhancing diagnostic capabilities for conditions related to cardiology, oncology, and neurology."
Canon Medical Systems USA,Tustin,,United States,501-1000 Employees,1977,"Canon Medical Systems specializes in advanced imaging solutions, including their Mirada Nuclear Medicine software, which integrates various imaging modalities such as PET and SPECT, enhancing the efficiency and accuracy of nuclear medicine studies. Their innovative technologies and customizable workflows allow for real-time data analysis and streamlined processes, ultimately improving patient care and departmental productivity."
Siemens Healthineers,Malvern,,United States,10001+ Employees,1847,"Siemens Healthineers is a prominent medtech company that offers a range of advanced medical technologies, including PET/CT systems like the Biograph mCT, which are essential in nuclear medicine for diagnostic imaging and treatment planning. The company's focus on innovative cancer care solutions and enhanced clinical decision-making through digital tools and analytics underscores its commitment to improving healthcare outcomes."
Landauer,Glenwood,,United States,501-1000 Employees,1954,"LANDAUER Academy is a prominent provider of educational resources in nuclear medicine, offering courses developed by certified medical physicists, which include topics on radiation safety and dosimetry management. Their expertise in radiation monitoring and support for compliant operations can help address challenges faced by nuclear medicine departments."
Nuclear Medicine Associates,Tampa,,United States,11-50 Employees,2016,"Nuclear Medicine Associates specializes in nuclear stress testing and Myocardial Perfusion Imaging (MPI), offering both mobile and fixed diagnostic solutions throughout the Southeastern United States. Their advanced imaging capabilities, including a portable cardiac camera, ensure high-quality diagnostic imaging delivered efficiently to healthcare facilities."
National Kidney and Transplant Institute,Quezon City,,Philippines,501-1000 Employees,1983,"The National Kidney and Transplant Institute (NKTI) offers specialized Nuclear Medicine services that utilize radiopharmaceuticals for the diagnosis and treatment of various diseases in both adults and children. Equipped with advanced gamma cameras, NKTI's Nuclear Medicine Division provides rapid and accurate diagnostic imaging, enhancing the ability to deliver functional information essential for effective patient care."
Nuclear Medicine Therapy,Gurugram,,India,11-50 Employees,2015,"The company specializes in advanced Nuclear Oncology Diagnostic and Therapeutic solutions, offering precision nuclear medicine therapies such as PSMA Therapy and Transarterial Radioembolisation (TARE) for targeted cancer treatment. Their team of trained specialists ensures personalized care and exceptional outcomes, adhering to international standards while providing affordable options for patients."
University of Washington - Department of Radiology,Seattle,,United States,501-1000 Employees,,"UW Radiology is a prominent academic medical program that specializes in nuclear medicine, offering comprehensive services and advanced diagnostic imaging facilities. The Nuclear Medicine Division provides educational and research resources, highlighting its commitment to advancing this critical field."
Radia,Everett,,United States,501-1000 Employees,1997,"Radia is a radiology group that offers specialized nuclear medicine services, including VQ scans, HIDA scans, WBC scans, and various types of PET and SPECT imaging. Their expertise in therapeutic radiology and collaboration with numerous healthcare partners ensures high-quality imaging and patient-centered care."
Nuclearmed-Centro De Medicina Nuclear Catarinense,Criciúma,,Brazil,51-100 Employees,,"Nuclearmed-Centro De Medicina Nuclear Catarinense specializes in nuclear medicine, offering advanced diagnostic and therapeutic services that enhance patient care through innovative nuclear imaging and treatment techniques."
