name,city,state,country,employees,founded,description
The Butternut Co,Mumbai,,India,11-50 Employees,2016,"The Butternut Co. specializes in nut butters, offering a diverse range including Almond Butter and Peanut Butter, with options tailored to various tastes, such as Unsweetened and Honey varieties. Their products emphasize clean ingredients and no added refined sugar, promoting a healthier lifestyle."
ButtaNutt,Drakenstein Local Municipality,,South Africa,11-50 Employees,2014,"ButtaNutt specializes in crafting authentic nut butters made from natural and organic ingredients, emphasizing healthy and plant-based food products. Their offerings include a variety of nut butters, highlighting a commitment to quality and wellness."
Nutbutter,Dublin,,Ireland,11-50 Employees,2018,"NUTBUTTER is a vibrant place that emphasizes eating well and enjoying great food, making it a perfect spot for nut butter enthusiasts to gather and indulge in delicious offerings."
Fix & Fogg,Wellington,,New Zealand,11-50 Employees,2013,"The company specializes in innovative peanut butters, offering a variety of options, including Smooth Peanut Butter and Almond Butter, in large 2kg and 4kg pails. Their commitment to high-quality, locally sourced ingredients emphasizes sustainability and ethical practices."
Petrow Food Group,West Suffolk,,United Kingdom,51-100 Employees,,"Petrow Food Group specializes in the manufacture of various nut butters, including almond, cashew, and macadamia. They also produce a wide range of private label nut butters, enhancing their capacity with a new production facility dedicated to high-quality nut butter processing."
Peanut Butter & Co.,New York,,United States,11-50 Employees,1998,"Peanut Butter & Co. specializes in a variety of nut butters, including peanut butter and chocolatey hazelnut spreads. Their commitment to quality is reflected in their certified non-GMO and vegan products, making them a great choice for nut butter enthusiasts."
Nutri Butter,Telford,,United Kingdom,11-50 Employees,2020,"Nutri Butter is dedicated to creating the most delicious and innovative nut butters, enhancing them with natural ingredients for better health and performance. Their unique approach and commitment to quality set their products apart in the nut butter category."
Nut Butter Concepts,Simi Valley,,United States,11-50 Employees,2012,"Nut Butter Concepts specializes in the production of almond butters and related products, utilizing proprietary technology to enhance taste and promote healthy lifestyles. They also provide formulation support and design services, ensuring high-quality ingredients for innovative nut butter creations."
Meridian Foods,-,,-,,,"Meridian Foods is a leading producer of natural nut butters, offering a variety of products including Organic Crunchy and Smooth Peanut Butter, Smooth Almond Butter, and Crunchy Hazelnut Butter, all without palm oil. Their commitment to sustainability and high-quality ingredients makes them a standout choice for nut butter enthusiasts."
NuttZo,San Diego,,United States,11-50 Employees,2008,"NuttZo specializes in premium mixed nut and seed butters, offering a variety of innovative blends that are rich in Omega-3s, proteins, and healthy fats, suitable for diverse dietary needs like keto, paleo, and vegan. Their product line includes options that are organic, non-GMO, and free from common allergens, ensuring there’s a nut butter for everyone."
