name,city,state,country,employees,founded,description
E-PORTS,Huangpu District,,China,101-250 Employees,2015,"E-PORTS offers a comprehensive platform for intelligent ship service management at major global ports, providing real-time information sharing and efficient coordination to enhance ship operations. Their services include integration of port information and IT solutions, aimed at reducing costs and increasing efficiency for ship operators."
Euroports,Hoofddorp,,Netherlands,1001-5000 Employees,,"Euroports is a leading port infrastructure operator in Europe, managing over 50 terminals and logistics platforms. They handle approximately 65 million tons of various goods annually, offering a comprehensive range of services that enhance maritime supply-chain solutions."
PortPro - Asia,Surat,,India,51-100 Employees,,"PortPro specializes in drayage software solutions that enhance operational efficiency and transparency for trucking and logistics. Their TMS Customer Portal offers features such as real-time load tracking, container monitoring, and easy access to vital documents, significantly improving the customer experience in managing logistics operations."
Brasil Port Logística Offshore e Estaleiro Naval LTDA.,São João da Barra,,Brazil,501-1000 Employees,2016,"B-Port is a leading logistics support company in Brazil, offering specialized port equipment such as docking berths and cranes with significant lifting capacities. Their services include loading, unloading, and cargo handling, along with dedicated storage areas and additional facilities for waste management and vessel maintenance."
Peel Ports,United Kingdom,,United Kingdom,1001-5000 Employees,2005,"Peel Ports, the second largest port operator in the UK, specializes in water transportation and logistics management, operating a variety of terminals that handle over 70 million tonnes of cargo annually. The company emphasizes innovative and sustainable port-centric solutions, making it well-equipped to manage diverse commodities and support efficient supply chain processes."
Macgregor,Perrysburg,,United States,1001-5000 Employees,1991,"MacGregor specializes in sustainable maritime cargo and load handling solutions, offering a wide range of equipment and services that enhance operational efficiency for ports and terminals. Their portfolio includes advanced solutions for load handling, which are crucial for optimizing port operations."
Yilport Holding AB,Sarıyer,,Turkey,5001-10000 Employees,2004,"YILPORT Holding Inc. is a prominent terminal operator that specializes in marine ports and terminals, offering a wide range of services including cargo handling and terminal operations. With 24 marine ports and terminals under its management, YILPORT emphasizes operational performance and investments in state-of-the-art equipment, which are essential for efficient supply chain management."
Portek International,San Jose,,Philippines,1001-5000 Employees,1988,"Portek is a specialized company in port operations and management, offering comprehensive port equipment engineering solutions that enhance terminal productivity. With expertise in transforming conventional terminals into high-performance container terminals, Portek integrates advanced technology and refurbished equipment to optimize port operations efficiently."
FTA (Futur Trans Atlantic),Tangier,,Morocco,251-500 Employees,1999,"The company, a prominent operator in transportation and logistics, has developed a new dry port specifically for container management and storage, addressing the growing demand for innovative logistical solutions. This facility features modern handling equipment, enhancing its capacity to efficiently manage container traffic."
Eurogate,Bremen,,Germany,1001-5000 Employees,1999,"EUROGATE is a prominent container terminal operator in Europe, specializing in container handling at seaports. Their technical service provider, EUROGATE Technical Services, ensures the reliable availability of port handling equipment, offering a range of services from design and maintenance to energy supply management."
