name,city,state,country,employees,founded,description
Hydropower Energy and General Construction,Al Ruways Industrial City,,United Arab Emirates,1001-5000 Employees,1977,"The company, Hydropower Energy and General Construction, has a strong focus on water and power projects, which aligns with its dedication to the energy and infrastructure sectors. Its transformation and commitment to innovative management suggest a robust approach to developing hydropower initiatives."
Sacramento Municipal Utility District,Sacramento,,United States,1001-5000 Employees,1923,"SMUD is a community-owned, not-for-profit electric service that has been providing reliable electricity for over 75 years and is committed to renewable power technologies, including hydropower. Their SmartSacramento® initiative enhances energy efficiency and supports a sustainable environment, aligning with their mission to offer affordable and clean energy solutions."
Dongfang Electric,Chengdu,,China,10001+ Employees,1993,"Dongfang Electric Corporation (DEC) is a significant player in the global energy industry, providing equipment and solutions for hydropower generation. Notably, DEC supplied 22 units of the world's largest capacity bulb turbine for the Jirau hydropower plant and contributed to the largest hydropower plant in service in Ethiopia, which powers Addis Ababa."
Nalcor Energy-Lower Churchill Project,St. John's,,Canada,1001-5000 Employees,2007,"Newfoundland and Labrador Hydro focuses on providing reliable and cost-effective electricity while harnessing sustainable energy opportunities, which includes their commitment to hydropower as a key resource for a sustainable future."
Norsk Hydro ASA,Oslo,,Norway,10001+ Employees,1905,"Hydro is a key player in renewable energy, being one of the top operators of power production in Norway. Their commitment to sustainability and reducing CO2 emissions aligns with the growing focus on hydropower and other renewable energy sources."
Snowy Hydro,Cooma,,Australia,501-1000 Employees,2002,"Snowy 2.0 is Australia's largest renewable energy project, utilizing hydropower to provide flexible, on-demand energy. By pumping water to an upper dam during low demand and releasing it to generate electricity during peak demand, it enhances the efficiency of renewable energy sources like solar and wind."
Hydroplan UK,Wimborne Minster,,United Kingdom,11-50 Employees,1990,"Hydroplan has extensive experience in hydropower consultancy, having successfully completed over 800 projects, which include both modifications of existing schemes and the development of new renewable energy initiatives. Their team of experts provides a comprehensive range of services, ensuring high customer satisfaction and effective project management in the renewable energy sector."
Hydropower Evolutions GmbH,Landshut,,Germany,11-50 Employees,2013,"Hydropower Evolutions specializes in hydropower advisory, project development, and asset management, offering comprehensive services that enhance the sustainability and efficiency of hydropower projects. They are currently leading the Environmental and Social components of a significant hydroelectric power project in Indonesia."
Enel,Rome,,Italy,10001+ Employees,1962,"Enel emphasizes its commitment to addressing global energy challenges through collaboration and innovation, positioning itself as a key player in the energy sector."
Enel Green Power,Andover,,United States,1001-5000 Employees,2008,"The company manages a significant renewable energy capacity, highlighting its leadership in the sector, which may include hydropower among other sources."
