name,city,state,country,employees,founded,description
New Balance,Boston,,United States,1001-5000 Employees,1906,"New Balance specializes in high-quality athletic footwear, including a range of running shoes like the Fresh Foam X 1080v12 and FuelCell Propel v4, designed for comfort and fit."
Runners Need,London,,United Kingdom,51-100 Employees,1982,"Runners Need offers a wide selection of running shoes and gear, with expert advice available in-store. They provide free next day delivery on orders over £100."
Up & Running UK,Harrogate,,United Kingdom,51-100 Employees,1992,"ASICS offers a range of running shoes, including their most comfortable stability shoe yet, the Kayano 30, designed for a plush ride and excellent traction. Additionally, New Balance's More V4 and FuelCell SuperComp Elite V3 are highlighted as top choices for runners."
Shoe Palace,Morgan Hill,,United States,1001-5000 Employees,1993,"Shoe Palace offers the Nike Zoom Fly 5 Men's Running Shoes, designed for both training and race day. These shoes provide comfort and reliability, enhancing your running experience with a propulsive sensation."
i-Run,Castelnau-d'Estrétefonds,,France,51-100 Employees,2003,"Since 2007, i-Run has been a leading online retailer specializing in running gear, offering a wide selection of running and trail shoes for both men and women. They feature prominent brands and models, including Nike Pegasus and Asics Gel Nimbus, along with expert guidance to help customers choose the perfect pair."
DR3,Jeddah,,Saudi Arabia,11-50 Employees,2013,"The company specializes in high-quality running shoes, such as the DR3 ROAD RUNNER 1, designed for athletes and active individuals. Their focus on innovative design and performance-enhancing features makes their footwear suitable for various sports and lifestyles."
Bata,Gazipur,,Bangladesh,1001-5000 Employees,1962,"Bata offers the Power Connect Sports Sneaker, designed for both casual and competitive running, featuring support, comfort, and cushioning. With its knit upper and phylon outsole, this sneaker ensures a comfortable experience, making it an excellent choice for runners."
WSS,Gardena,,United States,1001-5000 Employees,1984,"WSS offers a variety of athletic footwear, including the Brooks Range 2 women's road running shoes, which are designed for new runners with soft cushioning and a comfortable fit. The shoes feature engineered mesh for breathability, ensuring cool comfort during runs."
Zappos,Las Vegas,,United States,1001-5000 Employees,1999,"Zappos is an e-commerce retailer that specializes in the sale of shoes, including running shoes like the Scarpa Rapid. The company is dedicated to exceptional customer service and creating a positive shopping experience."
Allbirds,San Francisco,,United States,251-500 Employees,2014,"Allbirds produces a variety of footwear, including their Men's SuperLight Trainers, designed for comfort and breathability, making them suitable for everyday adventures and workouts. The company's commitment to sustainability and use of natural materials adds to the appeal of their running shoes."
