name,city,state,country,employees,founded,description
Unilever Bestfoods North America,Englewood Cliffs,,United States,10001+ Employees,1872,"The company, Unilever, specializes in a variety of consumer goods, including ice creams and frozen desserts. They focus on innovation and sustainability, continuously investing in research and development to enhance their ice cream offerings and provide healthier options."
Inside Scoop,Petaling Jaya,,Malaysia,251-500 Employees,2013,"Inside Scoop offers a delightful selection of freshly made ice cream flavors, including unique options like Durian and Teh Tarik, all crafted from premium ingredients without artificial additives. You can conveniently have your favorite flavors delivered right to your doorstep, making it perfect for any celebration."
Dodla Dairy Ltd,Hyderabad,,India,1001-5000 Employees,,"Dodla Dairy Limited offers a diverse range of ice cream products, including cones, bars, and family packs, highlighting their commitment to delighting customers with quality frozen treats. Their integrated business model ensures efficient distribution across multiple states in India."
Hico Ice Cream,Lahore,,Pakistan,251-500 Employees,1952,"Hico, the first ice cream company in Pakistan, has been delighting customers since 1952 and is now available in over 10,000 outlets nationwide. With a commitment to producing the best quality dairy ice cream and a significant increase in production capacity, Hico continues to expand its presence and offerings across the country."
Dreyer's Grand Ice Cream,Oakland,,United States,1001-5000 Employees,1928,"The company emphasizes its commitment to providing consumers with the best ice cream experience through a diverse range of offerings and strong core brands, including Dreyer's Grand Ice Cream, which has a rich history since 1928."
Campina Ice Cream,Surabaya,,Indonesia,501-1000 Employees,1972,"PT Campina Ice Cream Industry Tbk. is a leading ice cream manufacturer in Indonesia, known for its innovative and high-quality products made from natural ingredients. The company's commitment to creating happiness through their ice cream aligns with their goal of promoting a healthy lifestyle."
Jeni's Splendid Ice Creams,Columbus,,United States,1001-5000 Employees,2002,"Jeni's Ice Creams is dedicated to providing high-quality flavors for ice cream lovers, with options for online ordering, gift deliveries, and availability in grocery stores. Their community-focused approach ensures they partner with growers and producers to source the best ingredients."
Blue Skies,Pitsford,,United Kingdom,1001-5000 Employees,1997,"Blue Skies specializes in producing delicious dairy-free ice cream made from fresh, locally sourced fruit. Their commitment to high-quality, fresh products and social responsibility through community reinvestment enhances their brand."
Cream Stone Ice Cream Concepts,Hyderabad,,India,501-1000 Employees,2009,"Cream Stone provides an upscale ice cream experience, specializing in premium mix-ins and offering a luxurious atmosphere for customers to enjoy unique creations or customize their own flavors. With a focus on high-quality ingredients and innovative tastes, Cream Stone ensures that every visit is a delightful ice cream experience."
Hershey Creamery Company,Harrisburg,,United States,501-1000 Employees,1894,"The company highlights its extensive experience and offers a wide variety of healthy and delicious frozen treats, including ice cream cakes, pints, sandwiches, and more."
