name,city,state,country,employees,founded,description
Mustard Foods,London,,United Kingdom,11-50 Employees,2007,"Mustard Foods is a high-quality food manufacturing business that supplies consistent products to the UK foodservice industry. Their SALSA-accredited facility ensures strict hygiene and safety standards, guaranteeing the quality and traceability of their offerings."
Martin Pouret,Fleury-les-Aubrais,,France,11-50 Employees,1797,"Chez Martin-Pouret, we are dedicated to the quality of our products, carefully selecting each ingredient for our mustards. Since 1797, we have upheld the tradition of master mustard makers, ensuring that our recipes reflect our commitment to excellence and responsibility."
Cut the Mustard,London,,United Kingdom,1-10 Employees,2005,"Mustard is a branding and design company that specializes in brand identity, packaging, and graphic design."
Mustard Presentations,Coventry,,United Kingdom,11-50 Employees,,"Mustard offers a wide range of high-quality audio-visual solutions, ensuring that clients can make a strong impression with their presentations. Their expertise includes AV hire, production, installations, and maintenance, all aimed at keeping equipment in top condition and incorporating the latest technology."
Mustard,London,,United Kingdom,11-50 Employees,2010,"Mustard is a manufacturer and designer of unique stationery and consumer goods, known for its high-quality products with charming and off-beat designs. The company emphasizes its British heritage and aims to ""spice up"" everyday items, offering a wide range of innovative stationery and promotional merchandise that helps businesses and consumers stand out."
Cotswold Fayre a certified B Corporation,Theale,,United Kingdom,51-100 Employees,1999,"Cotswold Fayre is a leading specialty and fine food wholesaler that offers a wide range of products, including wholesale mustards. Their commitment to sustainability and a diverse product selection underscores their purpose-driven approach to serving local delis and farm shops."
Le Must Prestige Condiments & Preserves,Hallandale Beach,,United States,1-10 Employees,2014,"Le Must is a luxury manufacturer of condiments, offering a variety of unique single-serve products, including Dijon mustard. Their all-natural, organic selections are crafted using traditional techniques, making them ideal for enhancing the dining experience in upscale settings."
Mustard Clothing Company Pvt Ltd,Bengaluru,,India,251-500 Employees,2004,"Mustard Clothing Company offers a range of stylish and practical apparel for women of all sizes, including a multicoloured cotton dobby stripe top that enhances any wardrobe. Their commitment to quality and diverse designs ensures that every woman can look and feel good, regardless of her size."
Custom Culinary,Lombard,,United States,1001-5000 Employees,1946,"Custom Culinary® specializes in authentic culinary flavor systems, offering a variety of products, including mustard salsa under their Master's Touch®️ line."
FOODMatch,New York,,United States,51-100 Employees,1996,"FOODMatch is a producer and importer of Mediterranean specialty foods, including mustard. They offer a variety of products such as sauces and condiments, making them a great source for mustard and other related items."
