name,city,state,country,employees,founded,description
Lincoln Electric,Cleveland,,United States,10001+ Employees,1895,"The company specializes in advanced cutting techniques, including plasma and oxyfuel cutting, highlighting their extensive experience and capacity to meet specific industrial needs. Their commitment to innovative solutions ensures efficient production for large parts."
PlasmaCAM Inc,United States,,United States,10001+ Employees,1998,"PlasmaCAM specializes in high-quality CNC cutting systems, providing machines that can cut flat shapes out of metal with remarkable precision and speed, making it a trusted choice for industries that require efficient plasma cutting solutions. Their machines are pre-assembled and rigorously tested, ensuring reliability and performance."
Plasma Cutting Services LLC,Liberal,,United States,1-10 Employees,2018,"Plasma Cutting Services LLC specializes in CNC plasma plate processing, offering high-quality, custom cuts with fast lead times. Their commitment to upgrading equipment and processes ensures they deliver precision and competitive pricing to customers nationwide."
Precision Plasma Cutting Inc,Tampa,,United States,1-10 Employees,,"Precision Plasma Cutting Inc specializes in precision plasma cutting services, utilizing advanced technology to provide high-quality and accurate metal fabrication solutions."
Cutting Systems,Cleveland,,United States,11-50 Employees,1970,"Cutting Systems specializes in high-quality heavy industrial plasma cutting machines, utilizing the latest technology and software to enhance cutting efficiency for various metals. They offer a range of products and services, including CNC plasma cutters, maintenance, and industry-leading CAD/CAM software, making them a key partner for plasma cutting needs."
Messer Cutting Systems India Private Limited,Coimbatore,,India,251-500 Employees,1898,"Messer Cutting Systems is a leading manufacturer of high-performance plasma cutting machines in India, offering fast and cost-effective solutions for the metal-working industry. Their product range includes advanced plasma cutting systems that cater to various applications, ensuring reliability and innovation in cutting technologies."
Messer Cutting Systems Benelux,Moerdijk,,Netherlands,1001-5000 Employees,1898,"Messer Cutting Systems is a leading provider of advanced cutting technology solutions, prominently featuring plasma cutting among its diverse offerings. The company not only supplies plasma cutting machines but also emphasizes innovation and customer support, ensuring clients have access to cutting-edge technology and services."
CMF,Chicago,,United States,101-250 Employees,1908,"Chicago Metal Fabricators (CMF) offers high-definition plasma cutting services as part of its comprehensive metal fabrication solutions. With over a century of experience, CMF is well-equipped to deliver custom metal components that meet precise specifications and quality standards."
Salit Steel,Niagara Falls,,Canada,501-1000 Employees,1905,"Salit Steel specializes in steel solutions and offers a comprehensive range of products and services, which may include plasma cutting as part of their fabrication capabilities. Their focus on quality and customer service supports various industries, potentially benefiting those in need of precise steel cutting techniques."
Messer Cutting Systems,Groß-Umstadt,,Germany,501-1000 Employees,1898,"Messer Cutting Systems is a global provider of cutting-edge technology for the metal processing industry, specializing in thermal cutting systems, including plasma cutting. Their extensive product range features plasma cutting systems designed to deliver intelligent, fast, and reliable solutions for various applications."
