name,city,state,country,employees,founded,description
Backcountry Gear LTD,Eugene,,United States,11-50 Employees,,"Backcountry Gear specializes in providing high-quality hiking gear, including lightweight backpacks and tents, perfect for backpacking and thru-hiking enthusiasts. Their extensive inventory features top brands and the latest equipment, ensuring customers have access to the best outdoor clothing and camping essentials."
Basecamp Ireland,Dublin,,Ireland,251-500 Employees,,"Basecamp is dedicated to providing high-quality hiking gear and outdoor equipment from top international brands, making it a go-to destination for adventurers. Their knowledgeable staff and community focus enhance the shopping experience for those seeking the best gear for their outdoor pursuits."
Patagonia,United States,,United States,1001-5000 Employees,1974,"Patagonia specializes in high-quality outdoor clothing and gear, offering a variety of products suitable for hiking and other outdoor activities. Their Cragsmith Pack 45L is specifically designed for carrying climbing ropes, highlighting the company's focus on functional and durable gear."
GEAR:30,Ogden,,United States,11-50 Employees,2012,"GEAR:30 is a dedicated retailer in Ogden, Utah, offering a diverse selection of high-quality hiking gear and outdoor apparel. With a commitment to reliable equipment and a range of premium brands, GEAR:30 ensures outdoor enthusiasts are well-equipped for their adventures."
Walkaroo International Private Limited,Coimbatore,,India,5001-10000 Employees,2014,"Walkaroo offers a high-quality 65L trekking backpack that is durable and water-repellent, making it ideal for outdoor adventures. The company's commitment to fostering an active lifestyle through walking aligns with the spirit of exploration and comfort in their trekking gear."
Mountain Warehouse,London,,United Kingdom,1001-5000 Employees,1997,"Mountain Warehouse offers a wide range of hiking gear, including trekking poles and staffs, with a focus on quality products designed in-house. As the UK's largest dedicated outdoor retailer, they provide excellent value for money on outdoor clothing and equipment."
Simply Hike,East Lindsey,,United Kingdom,11-50 Employees,2006,"Simply Hike offers a wide range of hiking gear, including rucksacks and other outdoor equipment, making it a great destination for those preparing for their next adventure. With expert advice and special offers, they cater to all your hiking needs."
Outdoor Warehouse,Cape Town,,South Africa,501-1000 Employees,,"The company offers a wide range of outdoor equipment, including the First Ascent Peak 4 Season Hiking Tent, catering to hiking enthusiasts. They emphasize high-quality products and provide expert guidance on gear selection and maintenance."
Basecamp,Los Angeles,,United States,251-500 Employees,,"The company, BC LiveBold, offers a variety of outdoor gear and equipment, including backpacks and sleeping bags, which are essential for hiking and outdoor adventures. Their focus on camping and backcountry travel makes them a valuable resource for outdoor enthusiasts."
Mountain Equipment,Ellesmere Port,,United Kingdom,51-100 Employees,1961,"The company emphasizes its commitment to providing high-quality equipment designed for outdoor activities, particularly hiking. They have created guides to assist customers in selecting the right products to stay protected against various mountain conditions."
