name,city,state,country,employees,founded,description
Remote Patient Devices LLC,Downers Grove,,United States,251-500 Employees,2019,"The company offers a software platform that enhances remote patient care, including remote patient monitoring services that boost revenue for healthcare providers through non-face-to-face interactions. Their solutions improve collaboration between care teams and patients, leading to better health management and patient satisfaction."
Health Recovery Solutions,Hoboken,,United States,101-250 Employees,2012,"HRS is dedicated to transforming remote patient monitoring and care delivery, emphasizing their commitment to quality and innovation. With a proven track record, HRS provides advanced and customizable remote patient monitoring solutions that empower patients and improve health outcomes while reducing costs."
Remote Care Partners,Tampa,,United States,11-50 Employees,2019,"Remote Care Partners has transformed Remote Patient Monitoring by streamlining the process and eliminating barriers that previously hindered its effectiveness. Their platform simplifies access to physician-prescribed medical measurement devices, ensuring a more efficient experience for both patients and healthcare providers."
patientMpower,Dublin,,Ireland,11-50 Employees,2015,patientMpower is dedicated to providing remote monitoring solutions for patients living with chronic respiratory diseases. Their specialized platform enhances patient-centered care and offers unique data insights that empower healthcare professionals and patients alike.
CareXM,Lehi,,United States,501-1000 Employees,2008,"CareXM specializes in remote patient monitoring, enhancing patient outcomes through efficient data collection and proactive triage technology. Their program boasts high adherence rates and significantly reduces hospitalizations, making it a valuable resource for home health and hospice providers."
AVIA Marketplace,Chicago,,United States,51-100 Employees,,"The company, Andor Health, offers a comprehensive integrated virtual collaboration platform called ThinkAndor®, which includes a dedicated component for Remote Patient Monitoring & Care Management. This feature is designed to enhance patient engagement and streamline care through effective virtual interactions among care teams, patients, and families."
eVitals Remote Patient Monitoring,United States,,United States,251-500 Employees,2020,"The company offers a device transmission fee for remote patient monitoring of physiological parameters such as blood pressure, blood glucose, and weight, which is billed every 30 days."
Vivify Health,Plano,,United States,11-50 Employees,2009,"Vivify Health, as part of Optum®, offers a robust remote patient monitoring (RPM) software solution that enhances care management by integrating third-party biometric devices. Their innovative approach aims to improve patient satisfaction, reduce readmissions, and streamline disease management and post-acute care programs."
CENSON® Health,United States,,United States,51-100 Employees,2015,"The company specializes in remote patient monitoring (RPM) through innovative telehealth solutions, offering a comprehensive range of products and services designed to enhance patient care and outcomes."
Greenway Health,Tampa,,United States,501-1000 Employees,1998,"Greenway Health offers a comprehensive remote patient monitoring (RPM) solution that provides valuable insights into patients’ health outside of clinical settings, ensuring continuous care and engagement between visits. Their fully integrated RPM system helps practices enhance patient outcomes and streamline care coordination."
