name,city,state,country,employees,founded,description
Sonoco Products Company,Hartsville,,United States,10001+ Employees,1899,"Sonoco is a leading manufacturer specializing in blister packaging, offering over fifty years of experience in producing sealed packaging and providing sealing machines. Their EnviroSense™ PaperBlister™ package, made from renewable resources, not only enhances product protection but also reduces shipping costs and allows for innovative design."
Accupack Engineering Pvt. Ltd,India,,India,251-500 Employees,2001,"Accupack Engineering Private Limited specializes in bespoke blister packaging solutions, offering a range of machines and integrated systems designed for the pharmaceutical industry. With over two decades of experience and a dedicated testing facility, Accupack ensures high quality and efficiency in its blister packaging offerings, making it a reliable partner for over 700 pharma companies worldwide."
Blisterpartner,The Hague,,Netherlands,11-50 Employees,2013,"Blisterpartner specializes in innovative automated pouch-packaging solutions for medication, enhancing efficiency and accuracy in the packaging process. Their advanced systems, such as the Pouch Inspector and Cut&Roll, streamline the workflow and improve safety through real-time monitoring and fast inspection of packaged pouches."
Plasindo Lestari,Karawang,,Indonesia,1001-5000 Employees,1985,"Plasindo Lestari is a prominent manufacturer in Indonesia's flexible packaging sector, specializing in producing PTP (Push-Through Packaging) for blister applications, particularly in the pharmaceutical category. Their commitment to using environmentally friendly and food-safe materials ensures that their blister packaging meets high international hygiene standards."
Uhlmann Pac-Systeme,Laupheim,,Germany,1001-5000 Employees,1948,"Uhlmann Pac-Systeme GmbH & Co. KG specializes in pharmaceutical packaging solutions, offering a range of blister packaging options that ensure maximum security and protection for sensitive parenteral products. Their blister packs, including sealed syringe blisters and those with tear tabs, are designed for tamper resistance and user-friendly access, making them ideal for medical settings."
Perlen Packaging,Buchrain,,Switzerland,251-500 Employees,1954,"Perlen Packaging specializes in manufacturing a wide range of blister packaging films specifically designed for the pharmaceutical industry, including their innovative PERLAMED™ - BLISTair, a patented disposable Dry Powder Inhaler for pulmonary drug delivery. Their product portfolio features various high barrier films, ensuring optimal protection for hygroscopic products and meeting stringent industry standards."
Burbupack Blister,Mexico,,Mexico,11-50 Employees,2016,"The company specializes in manufacturing thermoformed blisters, offering a range of packaging solutions that enhance product presentation at the point of sale. Their expertise includes blister packaging, heat sealing, and custom packaging design, making them a key player in the blister packaging industry."
Ecobliss Packaging Group,Echt,,Netherlands,51-100 Employees,1995,"Ecobliss specializes in high visibility blister packaging solutions, utilizing both cold seal and heat seal technologies. Their integrated approach ensures comprehensive support from design to production, making them a key player in innovative packaging across various industries."
Packaging Gateway & Inside Packaging,London,,United Kingdom,1001-5000 Employees,,"Free Form Blister Pack is a leading supplier of skin packaging materials, providing comprehensive systems that include tamper-proof rigid films and robust adhesives, ensuring optimal presentation and security for skin and blister packaging. Their SuperCharge skin films and innovative design process offer clients a competitive edge in marketing and product protection."
Ecobliss Retail Packaging,Echt,,Netherlands,51-100 Employees,1995,"Ecobliss Retail Packaging specializes in blister packaging, offering a range of environmentally friendly stock blisters that enhance product visibility and protection. Their stock blister packaging solutions are designed for various industries, ensuring tamper-evident security and extended shelf life, making them an ideal choice for retailers and manufacturers alike."
